Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.94,,15.0
2024-12-31,54.44,$3.73,14.6
2024-09-30,47.79,$3.77,12.68
2024-06-30,38.95,$3.76,10.36
2024-03-31,52.69,$3.96,13.32
2023-12-31,52.2,$4.14,12.6
2023-09-30,44.44,$4.35,10.21
2023-06-30,44.35,$4.45,9.96
2023-03-31,38.88,$4.57,8.51
2022-12-31,36.4,$4.57,7.97
2022-09-30,30.86,$4.19,7.36
2022-06-30,31.84,$3.93,8.09
2022-03-31,30.91,$3.32,9.31
2021-12-31,34.37,$2.78,12.36
2021-09-30,29.04,$2.47,11.74
2021-06-30,24.09,$2.07,11.62
2021-03-31,28.37,$1.61,17.61
2020-12-31,23.73,$1.36,17.45
2020-09-30,18.42,$1.16,15.82
2020-06-30,14.78,$1.23,12.0
2020-03-31,12.59,$1.52,8.31
2019-12-31,18.8,$1.68,11.22
2019-09-30,16.38,$1.92,8.51
2019-06-30,15.09,$1.92,7.88
2019-03-31,16.98,$1.75,9.72
2018-12-31,14.51,$1.54,9.44
2018-09-30,16.21,$2.13,7.6
2018-06-30,17.79,$2.00,8.92
2018-03-31,16.37,$1.92,8.54
2017-12-31,19.54,$1.85,10.57
2017-09-30,17.68,$0.86,20.61
2017-06-30,14.76,$0.70,21.01
2017-03-31,12.64,$0.58,21.7
2016-12-31,12.51,$0.45,27.87
2016-09-30,9.85,$0.42,23.58
2016-06-30,8.43,$0.47,18.05
2016-03-31,7.4,$0.56,13.22
2015-12-31,8.88,$0.72,12.4
2015-09-30,9.45,$0.88,10.79
2015-06-30,9.73,$0.92,10.62
2015-03-31,10.02,$0.92,10.89
2014-12-31,11.41,$0.87,13.1
2014-09-30,11.94,$0.77,15.52
2014-06-30,12.75,$0.68,18.75
2014-03-31,11.41,$0.52,21.76
2013-12-31,10.33,$0.54,19.06
2013-09-30,9.23,$0.54,17.17
2013-06-30,8.72,$0.54,16.09
2013-03-31,8.29,$0.68,12.27
2012-12-31,7.0,$0.70,9.97
2012-09-30,6.81,$0.76,8.91
2012-06-30,5.49,$0.78,7.06
2012-03-31,7.0,$0.72,9.67
2011-12-31,6.89,$0.63,10.92
2011-09-30,4.73,$0.52,9.17
2011-06-30,6.53,$0.50,13.11
2011-03-31,7.05,$0.42,16.7
2010-12-31,7.32,$0.36,20.09
2010-09-30,5.57,$0.28,20.22
2010-06-30,4.72,$0.15,32.16
2010-03-31,4.98,$0.06,80.01
2009-12-31,4.26,$0.07,59.82
