PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data,PepsiCo PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,147.15,,21.17
2024-12-31,152.06,$6.95,21.88
2024-09-30,168.6,$6.78,24.87
2024-06-30,162.29,$6.89,23.55
2024-03-31,170.85,$6.65,25.69
2023-12-31,164.54,$6.57,25.04
2023-09-30,162.93,$6.00,27.16
2023-06-30,176.85,$5.71,30.97
2023-03-31,172.86,$4.75,36.39
2022-12-31,170.18,$6.41,26.55
2022-09-30,152.84,$6.99,21.87
2022-06-30,154.99,$6.64,23.34
2022-03-31,154.6,$7.31,21.15
2021-12-31,159.39,$5.49,29.03
2021-09-30,137.1,$5.87,23.36
2021-06-30,134.13,$5.92,22.66
2021-03-31,127.13,$5.40,23.54
2020-12-31,132.23,$5.12,25.83
2020-09-30,122.72,$5.05,24.3
2020-06-30,116.25,$4.89,23.77
2020-03-31,104.74,$5.15,20.34
2019-12-31,118.37,$5.19,22.81
2019-09-30,117.92,$8.76,13.46
2019-06-30,112.0,$9.02,12.42
2019-03-31,103.92,$8.86,11.73
2018-12-31,92.94,$8.80,10.56
2018-09-30,93.31,$3.47,26.89
2018-06-30,90.13,$3.21,28.08
2018-03-31,89.53,$3.39,26.41
2017-12-31,97.64,$3.37,28.97
2017-09-30,90.1,$4.84,18.62
2017-06-30,92.74,$4.72,19.65
2017-03-31,89.21,$4.64,19.23
2016-12-31,82.87,$4.36,19.01
2016-09-30,85.51,$4.56,18.75
2016-06-30,82.7,$3.55,23.3
2016-03-31,79.41,$3.50,22.69
2015-12-31,76.88,$3.67,20.95
2015-09-30,72.05,$3.37,21.38
2015-06-30,70.77,$4.33,16.34
2015-03-31,71.97,$4.29,16.78
2014-12-31,70.69,$4.27,16.56
2014-09-30,69.14,$4.52,15.3
2014-06-30,65.88,$4.43,14.87
2014-03-31,61.12,$4.42,13.83
2013-12-31,60.29,$4.32,13.96
2013-09-30,57.39,$4.26,13.47
2013-06-30,58.63,$4.24,13.83
2013-03-31,56.31,$3.90,14.44
2012-12-31,48.37,$3.92,12.34
2012-09-30,49.64,$3.75,13.24
2012-06-30,49.19,$3.79,12.98
2012-03-31,45.83,$4.02,11.4
2011-12-31,45.46,$4.02,11.31
2011-09-30,42.07,$3.98,10.57
2011-06-30,47.49,$3.92,12.11
2011-03-31,43.11,$3.73,11.56
2010-12-31,43.4,$3.91,11.1
2010-09-30,43.82,$3.96,11.06
2010-06-30,39.9,$3.86,10.34
2010-03-31,42.99,$3.94,10.91
2009-12-31,39.23,$3.77,10.4
