Hawthorn Bancshares PE Ratio Historical Data,Hawthorn Bancshares PE Ratio Historical Data,Hawthorn Bancshares PE Ratio Historical Data,Hawthorn Bancshares PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.0,,14.87
2024-12-31,28.35,$1.95,14.54
2024-09-30,24.88,$0.90,27.64
2024-06-30,19.53,$0.60,32.55
2024-03-31,19.96,$0.30,66.53
2023-12-31,24.56,$0.13,186.78
2023-09-30,15.61,$1.85,8.42
2023-06-30,17.07,$2.20,7.77
2023-03-31,21.18,$2.47,8.57
2022-12-31,19.57,$2.93,6.67
2022-09-30,19.51,$3.09,6.31
2022-06-30,22.59,$3.20,7.05
2022-03-31,21.39,$3.25,6.57
2021-12-31,21.82,$3.15,6.93
2021-09-30,19.36,$3.03,6.4
2021-06-30,19.04,$2.90,6.57
2021-03-31,17.57,$2.67,6.59
2020-12-31,17.96,$1.97,9.12
2020-09-30,15.44,$1.81,8.52
2020-06-30,15.96,$1.66,9.62
2020-03-31,14.21,$1.68,8.44
2019-12-31,19.61,$2.20,8.93
2019-09-30,18.24,$2.00,9.1
2019-06-30,20.41,$1.89,10.78
2019-03-31,17.61,$1.81,9.74
2018-12-31,15.87,$1.46,10.87
2018-09-30,17.09,$0.77,22.08
2018-06-30,16.39,$0.59,27.67
2018-03-31,14.78,$0.46,32.24
2017-12-31,14.81,$0.46,32.54
2017-09-30,14.72,$1.05,14.09
2017-06-30,14.85,$1.06,14.03
2017-03-31,14.33,$0.99,14.51
2016-12-31,11.99,$0.98,12.27
2016-09-30,10.29,$0.98,10.49
2016-06-30,9.28,$1.07,8.63
2016-03-31,9.51,$1.14,8.34
2015-12-31,10.11,$1.16,8.74
2015-09-30,8.94,$1.15,7.75
2015-06-30,9.13,$1.02,8.94
2015-03-31,8.18,$1.05,7.81
2014-12-31,8.68,$1.02,8.49
2014-09-30,8.34,$0.99,8.47
2014-06-30,7.57,$0.98,7.69
2014-03-31,7.66,$0.91,8.46
2013-12-31,7.01,$0.58,12.01
2013-09-30,7.82,$0.60,12.96
2013-06-30,7.16,$0.14,52.04
2013-03-31,6.34,$-0.06,0.0
2012-12-31,4.11,$0.13,31.38
2012-09-30,4.81,$-0.32,0.0
2012-06-30,5.0,$0.08,66.43
2012-03-31,3.91,$0.19,20.86
2011-12-31,3.13,$0.12,26.9
2011-09-30,3.72,$-0.59,0.0
2011-06-30,3.9,$-0.60,0.0
2011-03-31,4.42,$-0.68,0.0
2010-12-31,4.19,$-0.74,0.0
2010-09-30,4.88,$0.20,24.09
2010-06-30,5.8,$0.27,21.74
2010-03-31,5.41,$0.33,16.45
2009-12-31,4.38,$0.41,10.76
