Southwest Gas PE Ratio Historical Data,Southwest Gas PE Ratio Historical Data,Southwest Gas PE Ratio Historical Data,Southwest Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.05,,27.65
2024-12-31,70.71,$2.75,25.71
2024-09-30,73.17,$2.48,29.5
2024-06-30,69.21,$2.52,27.46
2024-03-31,74.24,$2.67,27.81
2023-12-31,61.13,$2.12,28.83
2023-09-30,57.71,$-3.07,0.0
2023-06-30,60.23,$-3.29,0.0
2023-03-31,58.45,$-3.79,0.0
2022-12-31,57.36,$-2.88,0.0
2022-09-30,64.03,$2.45,26.13
2022-06-30,79.3,$2.44,32.5
2022-03-31,70.81,$2.97,23.84
2021-12-31,62.79,$3.42,18.36
2021-09-30,59.44,$4.09,14.53
2021-06-30,58.34,$4.60,12.68
2021-03-31,60.05,$4.85,12.38
2020-12-31,52.61,$4.13,12.74
2020-09-30,54.21,$3.98,13.62
2020-06-30,58.84,$3.76,15.65
2020-03-31,58.78,$3.49,16.84
2019-12-31,63.76,$3.95,16.14
2019-09-30,75.87,$3.64,20.84
2019-06-30,74.69,$3.79,19.71
2019-03-31,68.11,$3.82,17.83
2018-12-31,62.92,$3.68,17.1
2018-09-30,64.61,$4.32,14.96
2018-06-30,61.94,$4.28,14.47
2018-03-31,54.54,$4.21,12.95
2017-12-31,64.43,$4.03,15.99
2017-09-30,61.77,$3.40,18.17
2017-06-30,57.79,$3.24,17.84
2017-03-31,65.17,$3.06,21.3
2016-12-31,59.9,$3.19,18.78
2016-09-30,54.62,$3.20,17.07
2016-06-30,61.54,$3.05,20.18
2016-03-31,51.48,$2.96,17.39
2015-12-31,43.12,$2.91,14.82
2015-09-30,45.6,$2.78,16.4
2015-06-30,41.6,$2.92,14.25
2015-03-31,45.48,$3.03,15.01
2014-12-31,48.32,$3.01,16.05
2014-09-30,37.98,$2.98,12.75
2014-06-30,41.27,$2.88,14.33
2014-03-31,41.79,$2.89,14.46
2013-12-31,43.71,$3.11,14.05
2013-09-30,38.85,$3.23,12.03
2013-06-30,36.12,$3.20,11.29
2013-03-31,36.39,$2.90,12.55
2012-12-31,32.3,$2.87,11.26
2012-09-30,33.42,$2.72,12.29
2012-06-30,32.78,$2.47,13.27
2012-03-31,31.65,$2.64,11.99
2011-12-31,31.26,$2.42,12.92
2011-09-30,26.43,$2.21,11.96
2011-06-30,27.99,$2.66,10.52
2011-03-31,28.06,$2.55,11.0
2010-12-31,26.23,$2.49,10.54
2010-09-30,23.86,$2.53,9.43
2010-06-30,20.79,$2.60,8.0
2010-03-31,20.92,$2.63,7.96
2009-12-31,19.78,$2.33,8.49
