Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data,Broadridge Financial Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,233.81,,36.59
2024-12-31,226.09,$6.39,35.38
2024-09-30,214.22,$5.78,37.06
2024-06-30,195.44,$5.86,33.35
2024-03-31,202.41,$5.86,34.54
2023-12-31,202.48,$5.74,35.28
2023-09-30,175.48,$5.63,31.17
2023-06-30,161.64,$5.29,30.56
2023-03-31,142.38,$4.66,30.55
2022-12-31,129.61,$4.48,28.93
2022-09-30,138.75,$4.40,31.53
2022-06-30,136.45,$4.55,29.99
2022-03-31,148.34,$4.66,31.83
2021-12-31,173.39,$4.57,37.94
2021-09-30,157.48,$4.65,33.87
2021-06-30,152.08,$4.64,32.78
2021-03-31,143.63,$4.41,32.57
2020-12-31,143.15,$4.44,32.24
2020-09-30,122.86,$4.05,30.34
2020-06-30,116.96,$3.97,29.46
2020-03-31,87.49,$3.55,24.65
2019-12-31,113.34,$3.57,31.75
2019-09-30,113.65,$3.90,29.14
2019-06-30,116.11,$4.06,28.6
2019-03-31,93.95,$4.23,22.21
2018-12-31,86.8,$3.68,23.59
2018-09-30,118.41,$3.78,31.32
2018-06-30,102.92,$3.56,28.91
2018-03-31,97.77,$3.41,28.67
2017-12-31,80.46,$3.14,25.62
2017-09-30,71.5,$2.87,24.91
2017-06-30,66.54,$2.73,24.37
2017-03-31,59.58,$2.56,23.27
2016-12-31,57.85,$2.45,23.61
2016-09-30,58.85,$2.53,23.26
2016-06-30,56.33,$2.53,22.27
2016-03-31,51.0,$2.48,20.57
2015-12-31,45.96,$2.39,19.23
2015-09-30,47.08,$2.34,20.12
2015-06-30,42.3,$2.32,18.23
2015-03-31,46.28,$2.10,22.04
2014-12-31,38.65,$2.08,18.58
2014-09-30,34.63,$2.02,17.14
2014-06-30,34.42,$2.12,16.24
2014-03-31,30.54,$2.08,14.68
2013-12-31,32.32,$2.02,16.0
2013-09-30,25.82,$1.93,13.38
2013-06-30,21.47,$1.71,12.56
2013-03-31,19.93,$1.27,15.69
2012-12-31,18.22,$1.05,17.35
2012-09-30,18.44,$0.97,19.01
2012-06-30,16.69,$0.96,17.38
2012-03-31,18.61,$1.23,15.13
2011-12-31,17.44,$1.33,13.11
2011-09-30,15.46,$1.36,11.37
2011-06-30,18.33,$1.33,13.79
2011-03-31,17.17,$1.17,14.67
2010-12-31,16.48,$1.12,14.71
2010-09-30,17.07,$1.28,13.33
2010-06-30,14.12,$1.37,10.31
2010-03-31,15.74,$1.44,10.93
2009-12-31,16.5,$1.55,10.64
