OUTFRONT Media PE Ratio Historical Data,OUTFRONT Media PE Ratio Historical Data,OUTFRONT Media PE Ratio Historical Data,OUTFRONT Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.27,,11.03
2024-12-31,17.74,$1.47,12.03
2024-09-30,18.08,$1.40,12.89
2024-06-30,13.81,$1.30,10.62
2024-03-31,16.21,$-2.72,0.0
2023-12-31,13.2,$-2.73,0.0
2023-09-30,9.32,$-2.74,0.0
2023-06-30,14.14,$-2.60,0.0
2023-03-31,14.29,$0.68,21.15
2022-12-31,14.35,$0.83,17.3
2022-09-30,12.93,$0.90,14.35
2022-06-30,14.19,$0.85,16.69
2022-03-31,23.45,$0.51,45.8
2021-12-31,21.87,$0.02,1072.24
2021-09-30,20.47,$-0.42,0.0
2021-06-30,19.44,$-0.75,0.0
2021-03-31,17.66,$-1.11,0.0
2020-12-31,15.83,$-0.53,0.0
2020-09-30,11.77,$-0.19,0.0
2020-06-30,11.46,$0.23,50.89
2020-03-31,10.91,$0.99,10.98
2019-12-31,21.37,$0.99,21.52
2019-09-30,21.83,$1.09,20.11
2019-06-30,20.0,$1.15,17.44
2019-03-31,17.89,$0.75,23.93
2018-12-31,13.63,$0.77,17.75
2018-09-30,14.76,$0.61,24.02
2018-06-30,14.13,$0.65,21.91
2018-03-31,13.37,$0.96,13.9
2017-12-31,16.25,$0.92,17.63
2017-09-30,17.37,$0.86,20.19
2017-06-30,15.68,$0.78,20.15
2017-03-31,17.73,$0.72,24.73
2016-12-31,16.38,$0.68,24.24
2016-09-30,15.37,$-0.07,0.0
2016-06-30,15.47,$-0.20,0.0
2016-03-31,13.31,$-0.26,0.0
2015-12-31,13.55,$-0.23,0.0
2015-09-30,12.7,$0.56,22.56
2015-06-30,15.19,$2.52,6.03
2015-03-31,17.78,$2.55,6.97
2014-12-31,15.73,$2.63,5.98
