Ternium S.A PE Ratio Historical Data,Ternium S.A PE Ratio Historical Data,Ternium S.A PE Ratio Historical Data,Ternium S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,32.5,,81.25
2024-09-30,35.97,$0.40,89.91
2024-06-30,36.59,$-3.53,0.0
2024-03-31,38.47,$3.37,11.41
2023-12-31,39.25,$3.44,11.41
2023-09-30,35.78,$1.53,23.38
2023-06-30,35.55,$6.08,5.85
2023-03-31,35.33,$6.96,5.08
2022-12-31,26.17,$9.00,2.91
2022-09-30,22.82,$13.88,1.64
2022-06-30,30.07,$19.22,1.56
2022-03-31,36.43,$20.36,1.79
2021-12-31,34.73,$19.48,1.78
2021-09-30,33.11,$17.46,1.9
2021-06-30,30.11,$12.08,2.49
2021-03-31,28.79,$7.09,4.06
2020-12-31,21.56,$3.96,5.44
2020-09-30,13.96,$1.24,11.26
2020-06-30,11.25,$0.98,11.48
2020-03-31,8.16,$1.68,4.86
2019-12-31,15.09,$2.85,5.29
2019-09-30,13.16,$4.30,3.06
2019-06-30,15.38,$6.31,2.44
2019-03-31,17.82,$7.09,2.51
2018-12-31,17.74,$7.85,2.26
2018-09-30,19.83,$6.98,2.84
2018-06-30,22.79,$5.48,4.16
2018-03-31,20.7,$5.05,4.1
2017-12-31,20.12,$4.51,4.46
2017-09-30,19.7,$4.19,4.7
2017-06-30,17.89,$4.37,4.09
2017-03-31,15.96,$3.88,4.11
2016-12-31,14.76,$3.03,4.87
2016-09-30,12.0,$1.79,6.7
2016-06-30,11.65,$0.75,15.53
2016-03-31,10.47,$0.18,58.19
2015-12-31,7.24,$-0.52,0.0
2015-09-30,7.16,$0.43,16.65
2015-06-30,10.08,$0.87,11.59
2015-03-31,10.08,$1.32,7.63
2014-12-31,9.84,$2.30,4.28
2014-09-30,13.41,$2.63,5.1
2014-06-30,15.58,$2.56,6.08
2014-03-31,16.08,$2.42,6.64
2013-12-31,17.01,$2.32,7.33
2013-09-30,13.05,$0.39,33.47
2013-06-30,12.3,$0.51,24.12
2013-03-31,10.76,$0.55,19.56
2012-12-31,12.45,$0.70,17.79
2012-09-30,10.37,$2.52,4.12
2012-06-30,10.35,$1.93,5.36
2012-03-31,12.13,$2.38,5.1
2011-12-31,9.42,$2.60,3.62
2011-09-30,10.67,$2.46,4.34
2011-06-30,15.12,$3.19,4.74
2011-03-31,17.52,$3.12,5.61
2010-12-31,20.67,$3.11,6.65
2010-09-30,15.91,$3.51,4.53
2010-06-30,16.05,$3.19,5.03
2010-03-31,19.71,$5.06,3.89
2009-12-31,17.01,$3.58,4.75
