Synaptogenix PE Ratio Historical Data,Synaptogenix PE Ratio Historical Data,Synaptogenix PE Ratio Historical Data,Synaptogenix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.63,,0.0
2024-09-30,3.02,$-6.17,0.0
2024-06-30,4.1,$-2.34,0.0
2024-03-31,0.19,$-35.91,0.0
2023-12-31,0.27,$-42.00,0.0
2023-09-30,0.44,$-26.25,0.0
2023-06-30,0.93,$-36.25,0.0
2023-03-31,0.8,$-15.00,0.0
2022-12-31,1.16,$-20.25,0.0
2022-09-30,6.7,$-51.50,0.0
2022-06-30,5.19,$-52.50,0.0
2022-03-31,7.74,$-53.50,0.0
