Cyclo Therapeutics PE Ratio Historical Data,Cyclo Therapeutics PE Ratio Historical Data,Cyclo Therapeutics PE Ratio Historical Data,Cyclo Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.68,,0.0
2024-09-30,0.79,$-0.90,0.0
2024-06-30,1.27,$-0.88,0.0
2024-03-31,1.39,$-1.00,0.0
2023-12-31,1.59,$-1.31,0.0
2023-09-30,1.42,$-1.67,0.0
2023-06-30,1.59,$-1.88,0.0
2023-03-31,0.84,$-1.96,0.0
2022-12-31,1.42,$-1.83,0.0
2022-09-30,1.93,$-1.58,0.0
2022-06-30,1.97,$-1.68,0.0
2022-03-31,3.17,$-1.83,0.0
2021-12-31,3.73,$-2.26,0.0
2021-09-30,6.75,$-1.92,0.0
