First Merchants PE Ratio Historical Data,First Merchants PE Ratio Historical Data,First Merchants PE Ratio Historical Data,First Merchants PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.86,,11.95
2024-12-31,39.89,$3.42,11.66
2024-09-30,36.9,$3.03,12.18
2024-06-30,32.71,$3.13,10.45
2024-03-31,33.91,$3.47,9.77
2023-12-31,35.67,$3.74,9.54
2023-09-30,26.47,$4.22,6.27
2023-06-30,26.55,$4.36,6.09
2023-03-31,30.61,$3.97,7.71
2022-12-31,37.88,$3.81,9.94
2022-09-30,35.38,$3.51,10.08
2022-06-30,32.32,$3.41,9.48
2022-03-31,37.46,$3.81,9.83
2021-12-31,37.47,$3.81,9.83
2021-09-30,37.16,$3.75,9.91
2021-06-30,36.75,$3.44,10.68
2021-03-31,40.75,$3.03,13.45
2020-12-31,32.59,$2.74,11.89
2020-09-30,20.03,$2.78,7.2
2020-06-30,23.6,$2.82,8.37
2020-03-31,22.47,$3.03,7.42
2019-12-31,35.01,$3.19,10.98
2019-09-30,31.48,$3.17,9.93
2019-06-30,31.24,$3.29,9.5
2019-03-31,30.16,$3.26,9.25
2018-12-31,27.9,$3.22,8.66
2018-09-30,36.42,$2.86,12.73
2018-06-30,37.39,$2.53,14.78
2018-03-31,33.44,$2.30,14.54
2017-12-31,33.58,$2.12,15.84
2017-09-30,34.13,$2.18,15.66
2017-06-30,31.77,$2.19,14.51
2017-03-31,30.98,$2.11,14.68
2016-12-31,29.56,$1.98,14.93
2016-09-30,20.91,$1.80,11.62
2016-06-30,19.38,$1.74,11.14
2016-03-31,18.23,$1.72,10.6
2015-12-31,19.57,$1.72,11.38
2015-09-30,20.1,$1.76,11.42
2015-06-30,18.85,$1.76,10.71
2015-03-31,17.89,$1.70,10.52
2014-12-31,17.23,$1.65,10.44
2014-09-30,15.25,$1.58,9.65
2014-06-30,15.89,$1.48,10.73
2014-03-31,16.2,$1.41,11.49
2013-12-31,16.97,$1.41,12.03
2013-09-30,12.91,$1.39,9.29
2013-06-30,12.74,$1.39,9.16
2013-03-31,11.46,$1.33,8.61
2012-12-31,10.97,$1.41,7.78
2012-09-30,11.07,$1.33,8.32
2012-06-30,9.17,$0.73,12.56
2012-03-31,9.06,$0.63,14.38
2011-12-31,6.21,$0.34,18.27
2011-09-30,5.16,$0.20,25.82
2011-06-30,6.54,$0.47,13.91
2011-03-31,6.03,$0.64,9.43
2010-12-31,6.47,$0.48,13.47
2010-09-30,5.56,$-0.17,0.0
2010-06-30,6.17,$-0.49,0.0
2010-03-31,5.06,$-2.32,0.0
2009-12-31,4.31,$-2.16,0.0
