Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data,Stryker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,374.22,,48.22
2024-12-31,360.05,$7.76,46.4
2024-09-30,361.26,$9.33,38.72
2024-06-30,339.5,$8.97,37.85
2024-03-31,356.24,$8.76,40.67
2023-12-31,297.43,$8.25,36.05
2023-09-30,270.7,$6.74,40.16
2023-06-30,301.39,$7.08,42.57
2023-03-31,281.31,$6.87,40.95
2022-12-31,240.28,$6.17,38.94
2022-09-30,198.45,$6.43,30.86
2022-06-30,194.26,$5.43,35.77
2022-03-31,260.16,$5.26,49.46
2021-12-31,259.56,$5.21,49.82
2021-09-30,255.31,$4.97,51.37
2021-06-30,250.86,$5.46,45.95
2021-03-31,234.69,$3.69,63.6
2020-12-31,235.49,$4.20,56.07
2020-09-30,199.73,$4.61,43.33
2020-06-30,172.23,$4.21,40.91
2020-03-31,158.63,$5.69,27.88
2019-12-31,199.32,$5.48,36.37
2019-09-30,204.79,$9.02,22.7
2019-06-30,194.17,$9.34,20.79
2019-03-31,186.08,$9.27,20.07
2018-12-31,147.28,$9.34,15.77
2018-09-30,166.39,$3.24,51.35
2018-06-30,157.71,$2.83,55.73
2018-03-31,149.87,$2.67,56.13
2017-12-31,143.78,$2.68,53.65
2017-09-30,131.48,$4.68,28.09
2017-06-30,128.09,$4.48,28.59
2017-03-31,121.14,$4.45,27.22
2016-12-31,109.89,$4.35,25.26
2016-09-30,106.4,$4.39,24.24
2016-06-30,109.17,$4.24,25.75
2016-03-31,97.43,$4.27,22.82
2015-12-31,84.1,$3.78,22.25
2015-09-30,84.81,$3.07,27.62
2015-06-30,85.81,$2.44,35.17
2015-03-31,82.54,$1.97,41.9
2014-12-31,84.09,$1.57,53.56
2014-09-30,71.72,$1.91,37.55
2014-06-30,74.61,$2.02,36.94
2014-03-31,71.83,$2.02,35.56
2013-12-31,66.0,$2.63,25.09
2013-09-30,59.13,$2.33,25.38
2013-06-30,56.36,$2.98,18.91
2013-03-31,56.62,$3.27,17.31
2012-12-31,47.38,$3.39,13.98
2012-09-30,47.88,$3.73,12.84
2012-06-30,47.22,$3.65,12.94
2012-03-31,47.36,$3.59,13.19
2011-12-31,42.27,$3.46,12.22
2011-09-30,39.9,$3.15,12.67
2011-06-30,49.51,$3.16,15.67
2011-03-31,51.13,$3.17,16.13
2010-12-31,45.03,$3.19,14.12
2010-09-30,41.83,$3.21,13.03
2010-06-30,41.71,$2.93,14.24
2010-03-31,47.54,$2.86,16.62
2009-12-31,41.74,$2.77,15.07
