Real Brokerage PE Ratio Historical Data,Real Brokerage PE Ratio Historical Data,Real Brokerage PE Ratio Historical Data,Real Brokerage PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.41,,0.0
2024-12-31,4.6,$-0.14,0.0
2024-09-30,5.55,$-0.18,0.0
2024-06-30,4.06,$-0.19,0.0
2024-03-31,3.12,$-0.20,0.0
2023-12-31,1.6,$-0.15,0.0
2023-09-30,1.45,$-0.12,0.0
2023-06-30,1.91,$-0.13,0.0
2023-03-31,1.21,$-0.13,0.0
2022-12-31,1.05,$-0.12,0.0
2022-09-30,1.44,$-0.10,0.0
2022-06-30,1.52,$-0.08,0.0
2022-03-31,2.27,$-0.11,0.0
