Columbus McKinnon PE Ratio Historical Data,Columbus McKinnon PE Ratio Historical Data,Columbus McKinnon PE Ratio Historical Data,Columbus McKinnon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,18.73,,56.76
2024-12-31,37.24,$0.33,112.85
2024-09-30,35.93,$0.53,67.79
2024-06-30,34.4,$1.60,21.5
2024-03-31,44.38,$1.62,27.39
2023-12-31,38.73,$1.69,22.92
2023-09-30,34.58,$1.77,19.54
2023-06-30,40.19,$1.71,23.5
2023-03-31,36.67,$1.68,21.83
2022-12-31,31.98,$1.61,19.86
2022-09-30,25.7,$1.53,16.8
2022-06-30,27.81,$1.57,17.71
2022-03-31,41.48,$1.01,41.07
2021-12-31,45.2,$0.99,45.65
2021-09-30,47.18,$0.92,51.28
2021-06-30,47.01,$0.22,213.69
2021-03-31,51.35,$0.37,138.8
2020-12-31,37.37,$0.37,100.99
2020-09-30,32.12,$0.73,44.0
2020-06-30,32.4,$1.59,20.38
2020-03-31,24.16,$2.49,9.7
2019-12-31,38.63,$2.93,13.18
2019-09-30,35.1,$2.27,15.46
2019-06-30,40.37,$2.25,17.94
2019-03-31,32.99,$1.80,18.33
2018-12-31,28.91,$1.33,21.73
2018-09-30,37.87,$0.90,42.08
2018-06-30,41.48,$0.77,53.87
2018-03-31,34.24,$0.95,36.04
2017-12-31,38.15,$0.37,103.11
2017-09-30,36.1,$0.85,42.47
2017-06-30,24.2,$0.64,37.81
2017-03-31,23.59,$0.45,52.43
2016-12-31,25.66,$0.96,26.73
2016-09-30,16.9,$1.30,13.0
2016-06-30,13.37,$0.95,14.08
2016-03-31,14.85,$0.97,15.31
2015-12-31,17.76,$0.78,22.77
2015-09-30,17.03,$0.81,21.02
2015-06-30,23.4,$1.36,17.21
2015-03-31,25.18,$1.36,18.51
2014-12-31,26.17,$1.74,15.04
2014-09-30,20.49,$1.68,12.2
2014-06-30,25.16,$1.51,16.67
2014-03-31,24.88,$1.52,16.37
2013-12-31,25.21,$3.68,6.85
2013-09-30,22.32,$3.84,5.81
2013-06-30,19.8,$3.90,5.08
2013-03-31,17.88,$3.98,4.49
2012-12-31,15.35,$1.80,8.53
2012-09-30,14.04,$1.75,8.02
2012-06-30,14.02,$1.67,8.39
2012-03-31,15.13,$1.38,10.96
2011-12-31,11.79,$1.05,11.23
2011-09-30,10.18,$-1.47,0.0
2011-06-30,16.68,$-1.71,0.0
2011-03-31,17.15,$-1.89,0.0
2010-12-31,18.87,$-2.00,0.0
2010-09-30,15.41,$-0.04,0.0
2010-06-30,12.98,$-0.28,0.0
2010-03-31,14.74,$-0.37,0.0
2009-12-31,12.7,$-5.82,0.0
