SLR Investment PE Ratio Historical Data,SLR Investment PE Ratio Historical Data,SLR Investment PE Ratio Historical Data,SLR Investment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.0,,9.71
2024-12-31,16.16,$1.75,9.23
2024-09-30,14.68,$1.77,8.3
2024-06-30,15.29,$1.86,8.22
2024-03-31,14.22,$1.78,7.99
2023-12-31,13.56,$1.40,9.69
2023-09-30,13.52,$1.33,10.17
2023-06-30,12.2,$1.09,11.2
2023-03-31,12.5,$0.45,27.79
2022-12-31,11.25,$0.36,31.26
2022-09-30,9.67,$0.14,69.1
2022-06-30,11.17,$0.21,53.21
2022-03-31,13.49,$0.94,14.35
2021-12-31,13.41,$1.41,9.51
2021-09-30,13.61,$1.71,7.96
2021-06-30,12.99,$1.83,7.1
2021-03-31,12.11,$2.67,4.54
2020-12-31,11.69,$0.37,31.58
2020-09-30,10.33,$-0.12,0.0
2020-06-30,10.18,$-0.24,0.0
2020-03-31,7.22,$-1.06,0.0
2019-12-31,12.14,$1.32,9.19
2019-09-30,11.92,$1.58,7.54
2019-06-30,11.62,$1.69,6.88
2019-03-31,11.57,$1.70,6.8
2018-12-31,10.45,$1.58,6.61
2018-09-30,11.4,$1.78,6.4
2018-06-30,10.69,$1.76,6.08
2018-03-31,10.42,$1.73,6.03
2017-12-31,10.17,$1.67,6.09
2017-09-30,10.68,$1.68,6.35
2017-06-30,10.58,$1.88,5.63
2017-03-31,10.74,$2.27,4.73
2016-12-31,9.71,$2.53,3.84
2016-09-30,9.39,$1.78,5.28
2016-06-30,8.55,$1.17,7.31
2016-03-31,7.59,$0.74,10.26
2015-12-31,7.06,$0.33,21.38
2015-09-30,6.63,$0.77,8.61
2015-06-30,7.37,$1.07,6.88
2015-03-31,8.11,$1.07,7.58
2014-12-31,7.07,$1.12,6.31
2014-09-30,7.17,$1.66,4.32
2014-06-30,8.0,$1.60,5.0
2014-03-31,8.03,$1.20,6.69
2013-12-31,8.17,$1.70,4.81
2013-09-30,7.89,$1.64,4.81
2013-06-30,8.07,$2.22,3.64
2013-03-31,8.0,$2.66,3.01
2012-12-31,7.94,$3.11,2.55
2012-09-30,7.43,$3.95,1.88
2012-06-30,7.03,$1.71,4.11
2012-03-31,6.78,$1.61,4.21
2011-12-31,6.61,$1.70,3.89
2011-09-30,5.86,$1.51,3.88
2011-06-30,7.0,$3.56,1.97
2011-03-31,6.61,$3.72,1.78
2010-12-31,6.69,$4.27,1.57
