L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data,L3Harris Technologies Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,209.89,,26.67
2024-12-31,210.28,$7.87,26.72
2024-09-30,237.87,$6.33,37.58
2024-06-30,223.44,$6.25,35.75
2024-03-31,212.02,$6.16,34.42
2023-12-31,209.55,$6.44,32.54
2023-09-30,173.24,$7.78,22.27
2023-06-30,193.53,$4.20,46.08
2023-03-31,192.75,$4.79,40.24
2022-12-31,204.51,$5.47,37.39
2022-09-30,203.11,$5.76,35.26
2022-06-30,235.05,$9.71,24.21
2022-03-31,240.52,$9.30,25.86
2021-12-31,206.42,$9.11,22.66
2021-09-30,213.19,$7.56,28.2
2021-06-30,209.23,$7.15,29.26
2021-03-31,195.28,$6.44,30.32
2020-12-31,181.14,$5.18,34.97
2020-09-30,162.05,$4.27,37.95
2020-06-30,161.89,$4.19,38.64
