Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data,Rush Enterprises PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,54.02,,14.48
2024-12-31,54.79,$3.73,14.69
2024-09-30,52.68,$3.77,13.97
2024-06-30,41.6,$3.76,11.06
2024-03-31,52.98,$3.96,13.39
2023-12-31,49.61,$4.14,11.97
2023-09-30,40.09,$4.35,9.21
2023-06-30,39.59,$4.45,8.89
2023-03-31,35.45,$4.57,7.76
2022-12-31,33.81,$4.57,7.4
2022-09-30,28.24,$4.19,6.74
2022-06-30,30.91,$3.93,7.86
2022-03-31,32.52,$3.32,9.8
2021-12-31,35.41,$2.78,12.74
2021-09-30,28.64,$2.47,11.58
2021-06-30,27.31,$2.07,13.17
2021-03-31,31.36,$1.61,19.46
2020-12-31,25.96,$1.36,19.09
2020-09-30,21.03,$1.16,18.06
2020-06-30,17.21,$1.23,13.98
2020-03-31,13.2,$1.52,8.71
2019-12-31,19.17,$1.68,11.44
2019-09-30,15.86,$1.92,8.24
2019-06-30,14.96,$1.92,7.81
2019-03-31,17.13,$1.75,9.81
2018-12-31,14.09,$1.54,9.16
2018-09-30,16.01,$2.13,7.5
2018-06-30,17.62,$2.00,8.83
2018-03-31,17.26,$1.92,9.01
2017-12-31,20.63,$1.85,11.16
2017-09-30,18.8,$0.86,21.92
2017-06-30,15.1,$0.70,21.5
2017-03-31,13.43,$0.58,23.07
2016-12-31,12.96,$0.45,28.86
2016-09-30,9.94,$0.42,23.8
2016-06-30,8.75,$0.47,18.75
2016-03-31,7.41,$0.56,13.23
2015-12-31,8.89,$0.72,12.42
2015-09-30,9.82,$0.88,11.21
2015-06-30,10.64,$0.92,11.63
2015-03-31,11.11,$0.92,12.08
2014-12-31,13.02,$0.87,14.94
2014-09-30,13.58,$0.77,17.67
2014-06-30,14.08,$0.68,20.71
2014-03-31,13.19,$0.52,25.16
2013-12-31,12.04,$0.54,22.21
2013-09-30,10.77,$0.54,20.02
2013-06-30,10.05,$0.54,18.54
2013-03-31,9.8,$0.68,14.5
2012-12-31,8.39,$0.70,11.95
2012-09-30,7.82,$0.76,10.23
2012-06-30,6.64,$0.78,8.54
2012-03-31,8.62,$0.72,11.9
2011-12-31,8.5,$0.63,13.46
2011-09-30,5.75,$0.52,11.16
2011-06-30,7.73,$0.50,15.53
2011-03-31,8.04,$0.42,19.05
2010-12-31,8.3,$0.36,22.77
2010-09-30,6.23,$0.28,22.6
2010-06-30,5.43,$0.15,36.96
2010-03-31,5.36,$0.06,86.11
2009-12-31,4.83,$0.07,67.82
