Stem PE Ratio Historical Data,Stem PE Ratio Historical Data,Stem PE Ratio Historical Data,Stem PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.6,$-5.26,0.0
2024-09-30,0.35,$-5.20,0.0
2024-06-30,1.11,$-4.78,0.0
2024-03-31,2.19,$-1.45,0.0
2023-12-31,3.88,$-1.28,0.0
2023-09-30,4.24,$-1.27,0.0
2023-06-30,5.72,$-1.00,0.0
2023-03-31,5.67,$-0.95,0.0
2022-12-31,8.94,$-0.81,0.0
2022-09-30,13.34,$-0.81,0.0
2022-06-30,7.16,$-0.74,0.0
2022-03-31,11.01,$-1.53,0.0
