Fangdd Network Group PE Ratio Historical Data,Fangdd Network Group PE Ratio Historical Data,Fangdd Network Group PE Ratio Historical Data,Fangdd Network Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.36,,0.0
2024-06-30,0.59,$-200.05,0.0
2021-12-31,104.63,$-242.76,0.0
2021-09-30,249.75,$-280.97,0.0
2021-06-30,684.0,$-128.12,0.0
2021-03-31,1415.25,$-78.67,0.0
2020-12-31,1696.5,$-92.16,0.0
