HP PE Ratio Historical Data,HP PE Ratio Historical Data,HP PE Ratio Historical Data,HP PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.51,,10.26
2025-01-31,32.5,$2.78,11.69
2024-10-31,35.22,$2.81,12.54
2024-07-31,35.5,$2.85,12.46
2024-04-30,27.42,$2.96,9.26
2024-01-31,27.77,$3.42,8.12
2023-10-31,25.24,$3.29,7.67
2023-07-31,31.19,$2.32,13.44
2023-04-30,27.99,$2.64,10.6
2023-01-31,27.19,$2.51,10.83
2022-10-31,25.54,$3.01,8.49
2022-07-31,30.6,$5.72,5.35
2022-04-30,33.35,$5.56,6.0
2022-01-31,33.21,$5.60,5.93
2021-10-31,27.24,$5.44,5.01
2021-07-31,25.76,$3.22,8.0
2021-04-30,30.24,$2.82,10.72
2021-01-31,21.44,$2.37,9.05
2020-10-31,15.69,$2.00,7.84
2020-07-31,15.22,$1.77,8.6
2020-04-30,13.29,$2.03,6.55
2020-01-31,18.11,$2.01,9.01
2019-10-31,14.63,$2.06,7.1
2019-07-31,17.57,$2.71,6.48
2019-04-30,16.53,$2.47,6.69
2019-01-31,18.25,$2.60,7.02
2018-10-31,19.86,$3.25,6.11
2018-07-31,18.88,$2.73,6.92
2018-04-30,17.48,$2.60,6.72
2018-01-31,18.85,$2.29,8.23
2017-10-31,17.31,$1.49,11.62
2017-07-31,15.24,$1.38,11.04
2017-04-30,14.9,$1.42,10.49
2017-01-31,11.83,$1.45,8.16
2016-10-31,11.29,$1.42,7.95
2016-07-31,10.82,$1.87,5.79
2016-04-30,9.39,$1.89,4.97
2016-01-31,7.35,$2.08,3.53
2015-10-31,9.17,$2.48,3.7
2015-07-31,10.32,$2.45,4.21
2015-04-30,11.09,$2.50,4.44
2015-01-31,12.09,$2.61,4.63
2014-10-31,11.96,$2.62,4.56
2014-07-31,11.82,$2.65,4.46
2014-04-30,10.92,$2.84,3.84
2014-01-31,9.53,$2.73,3.49
2013-10-31,7.97,$2.62,3.04
2013-07-31,8.34,$-1.60,0.0
2013-04-30,6.65,$-6.80,0.0
2013-01-31,5.3,$-6.55,0.0
2012-10-31,4.4,$-6.45,0.0
2012-07-31,5.76,$-2.84,0.0
2012-04-30,7.77,$2.58,3.01
2012-01-31,8.73,$2.83,3.09
2011-10-31,8.27,$3.27,2.53
2011-07-31,10.87,$4.25,2.56
2011-04-30,12.43,$4.07,3.05
2011-01-31,14.05,$3.93,3.57
2010-10-31,12.9,$3.72,3.47
2010-07-31,14.1,$3.61,3.9
2010-04-30,15.88,$3.53,4.5
2010-01-31,14.37,$3.32,4.33
2009-10-31,14.46,$3.11,4.65
