CNA Financial PE Ratio Historical Data,CNA Financial PE Ratio Historical Data,CNA Financial PE Ratio Historical Data,CNA Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,49.2,,13.98
2024-12-31,48.37,$3.52,13.74
2024-09-30,48.5,$4.80,10.1
2024-06-30,45.25,$4.71,9.61
2024-03-31,44.18,$4.58,9.65
2023-12-31,39.01,$4.43,8.81
2023-09-30,35.89,$3.99,9.0
2023-06-30,34.87,$3.51,9.94
2023-03-31,34.87,$3.22,10.83
2022-12-31,36.42,$3.28,11.1
2022-09-30,31.48,$3.35,9.4
2022-06-30,37.94,$3.82,9.93
2022-03-31,40.71,$4.42,9.21
2021-12-31,35.09,$4.41,7.96
2021-09-30,33.12,$4.85,6.83
2021-06-30,35.6,$4.70,7.57
2021-03-31,34.65,$3.90,8.88
2020-12-31,29.48,$2.54,11.61
2020-09-30,22.46,$2.12,10.59
2020-06-30,23.81,$1.72,13.85
2020-03-31,22.67,$2.19,10.35
2019-12-31,31.16,$3.66,8.51
2019-09-30,33.98,$2.35,14.46
2019-06-30,32.24,$3.19,10.11
2019-03-31,29.47,$3.16,9.33
2018-12-31,28.47,$2.98,9.55
2018-09-30,29.22,$4.11,7.11
2018-06-30,29.01,$3.41,8.51
2018-03-31,31.15,$3.42,9.11
2017-12-31,32.04,$3.31,9.68
2017-09-30,30.18,$3.38,8.93
2017-06-30,29.12,$4.11,7.08
2017-03-31,26.23,$3.88,6.76
2016-12-31,23.4,$3.16,7.4
2016-09-30,19.27,$2.01,9.59
2016-06-30,17.46,$1.41,12.39
2016-03-31,17.75,$1.15,15.43
2015-12-31,17.97,$1.77,10.15
2015-09-30,17.73,$2.76,6.42
2015-06-30,19.27,$2.89,6.67
2015-03-31,20.76,$3.36,6.18
2014-12-31,18.39,$2.55,7.21
2014-09-30,17.95,$2.64,6.8
2014-06-30,18.96,$2.86,6.63
2014-03-31,19.92,$2.60,7.66
2013-12-31,19.41,$3.48,5.58
2013-09-30,17.19,$2.63,6.54
2013-06-30,14.61,$2.44,5.99
2013-03-31,14.55,$2.34,6.22
2012-12-31,12.39,$2.34,5.3
2012-09-30,11.79,$3.07,3.84
2012-06-30,12.13,$2.53,4.79
2012-03-31,12.77,$2.38,5.37
2011-12-31,11.58,$2.28,5.08
2011-09-30,9.69,$2.67,3.63
2011-06-30,12.48,$1.80,6.93
2011-03-31,12.65,$2.29,5.53
2010-12-31,11.54,$2.28,5.06
2010-09-30,11.95,$2.00,5.97
2010-06-30,10.91,$3.45,3.16
2010-03-31,11.4,$2.76,4.13
2009-12-31,10.24,$1.10,9.31
