Uranium Resources PE Ratio Historical Data,Uranium Resources PE Ratio Historical Data,Uranium Resources PE Ratio Historical Data,Uranium Resources PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.63,,0.0
2024-09-30,0.52,$-0.13,0.0
2024-06-30,0.48,$-0.15,0.0
2024-03-31,0.49,$-0.15,0.0
2023-12-31,0.56,$-0.15,0.0
2023-09-30,0.67,$-0.23,0.0
2023-06-30,0.82,$-0.23,0.0
2023-03-31,1.11,$-0.23,0.0
2022-12-31,0.79,$-0.26,0.0
2022-09-30,1.14,$-0.29,0.0
2022-06-30,1.08,$-0.35,0.0
2022-03-31,2.0,$-0.39,0.0
2021-12-31,2.15,$-0.50,0.0
2021-09-30,3.58,$-0.43,0.0
2021-06-30,4.76,$-1.53,0.0
2021-03-31,5.37,$-1.85,0.0
2020-12-31,4.93,$-2.48,0.0
2020-09-30,2.51,$-3.15,0.0
2020-06-30,2.65,$-2.87,0.0
2020-03-31,0.97,$-4.25,0.0
2019-12-31,2.11,$-5.58,0.0
2019-09-30,3.48,$-9.41,0.0
2019-06-30,5.85,$-11.46,0.0
2019-03-31,6.75,$-35.15,0.0
2018-12-31,7.0,$-39.00,0.0
2018-09-30,10.5,$-65.50,0.0
2018-06-30,20.21,$-68.50,0.0
