Westport Fuel Systems PE Ratio Historical Data,Westport Fuel Systems PE Ratio Historical Data,Westport Fuel Systems PE Ratio Historical Data,Westport Fuel Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.85,,0.0
2024-09-30,4.59,$-1.49,0.0
2024-06-30,5.57,$-1.95,0.0
2024-03-31,6.74,$-3.05,0.0
2023-12-31,6.62,$-2.86,0.0
2023-09-30,6.06,$-3.05,0.0
2023-06-30,7.67,$-3.07,0.0
2023-03-31,9.53,$-3.00,0.0
2022-12-31,7.75,$-2.00,0.0
2022-09-30,8.72,$-0.70,0.0
2022-06-30,10.1,$-0.30,0.0
2022-03-31,15.8,$1.50,10.53
2021-12-31,23.7,$0.90,26.33
2021-09-30,32.9,$0.90,36.56
2021-06-30,53.1,$1.30,40.85
2021-03-31,71.9,$0.40,179.75
2020-12-31,53.3,$-0.50,0.0
2020-09-30,16.3,$-0.80,0.0
2020-06-30,12.4,$-0.50,0.0
2020-03-31,9.41,$-0.90,0.0
2019-12-31,23.7,0,0.0
2019-09-30,27.2,$-0.70,0.0
2019-06-30,27.1,$-1.30,0.0
2019-03-31,15.5,$-1.50,0.0
2018-12-31,13.3,$-2.40,0.0
2018-09-30,30.0,$-3.10,0.0
2018-06-30,25.3,$-4.10,0.0
2018-03-31,21.9,$-1.10,0.0
2017-12-31,37.6,$-1.10,0.0
2017-09-30,32.7,$-4.00,0.0
2017-06-30,23.5,$-5.80,0.0
2017-03-31,9.6,$-8.00,0.0
2016-12-31,11.3,$-10.50,0.0
2016-09-30,16.1,$-9.70,0.0
2016-06-30,16.7,$-12.50,0.0
2016-03-31,26.1,$-16.10,0.0
2015-12-31,20.1,$-15.20,0.0
2015-09-30,24.9,$-22.00,0.0
2015-06-30,47.4,$-20.20,0.0
2015-03-31,39.4,$-22.60,0.0
2014-12-31,37.4,$-23.70,0.0
2014-09-30,105.1,$-27.60,0.0
2014-06-30,180.2,$-28.90,0.0
2014-03-31,144.8,$-29.40,0.0
2013-12-31,196.1,$-31.30,0.0
2013-09-30,241.9,$-23.90,0.0
2013-06-30,335.3,$-24.50,0.0
2013-03-31,295.2,$-19.50,0.0
2012-12-31,267.1,$-18.20,0.0
2012-09-30,278.4,$-14.40,0.0
2012-06-30,367.5,$-11.20,0.0
2012-03-31,409.2,$-13.90,0.0
2011-12-31,332.4,$-12.60,0.0
2011-09-30,289.3,$-12.70,0.0
2011-06-30,240.2,$-11.60,0.0
2011-03-31,219.8,$-9.90,0.0
2010-12-31,185.2,$-10.00,0.0
2010-09-30,176.0,$-9.00,0.0
2010-06-30,156.9,$-10.00,0.0
2010-03-31,164.9,$-10.40,0.0
2009-12-31,115.8,$-11.00,0.0
