Old Republic PE Ratio Historical Data,Old Republic PE Ratio Historical Data,Old Republic PE Ratio Historical Data,Old Republic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.77,,14.36
2024-12-31,36.19,$2.63,13.76
2024-09-30,35.17,$2.90,12.13
2024-06-30,30.45,$2.38,12.8
2024-03-31,30.28,$2.57,11.78
2023-12-31,28.71,$2.10,13.67
2023-09-30,26.09,$3.14,8.31
2023-06-30,24.16,$2.64,9.15
2023-03-31,23.74,$1.97,12.05
2022-12-31,22.74,$2.29,9.93
2022-09-30,19.52,$2.62,7.45
2022-06-30,19.75,$3.22,6.13
2022-03-31,22.63,$4.40,5.14
2021-12-31,21.31,$5.08,4.2
2021-09-30,19.87,$4.76,4.17
2021-06-30,19.93,$5.30,3.76
2021-03-31,17.33,$5.59,3.1
2020-12-31,14.68,$1.90,7.73
2020-09-30,10.85,$1.07,10.14
2020-06-30,11.85,$0.91,13.03
2020-03-31,10.95,$0.12,91.23
2019-12-31,15.9,$3.50,4.54
2019-09-30,16.6,$2.23,7.44
2019-06-30,14.96,$2.48,6.03
2019-03-31,13.86,$2.59,5.35
2018-12-31,13.5,$1.23,10.97
2018-09-30,14.56,$2.60,5.6
2018-06-30,12.84,$1.85,6.94
2018-03-31,13.71,$1.54,8.9
2017-12-31,12.88,$1.92,6.71
2017-09-30,11.76,$1.37,8.58
2017-06-30,11.55,$1.59,7.26
2017-03-31,11.99,$1.59,7.54
2016-12-31,11.02,$1.63,6.76
2016-09-30,10.12,$1.49,6.79
2016-06-30,10.97,$1.54,7.12
2016-03-31,10.29,$1.55,6.64
2015-12-31,10.38,$1.48,7.02
2015-09-30,8.63,$1.39,6.21
2015-06-30,8.52,$1.25,6.82
2015-03-31,8.05,$1.13,7.12
2014-12-31,7.79,$1.44,5.41
2014-09-30,7.51,$1.54,4.87
2014-06-30,8.59,$1.60,5.37
2014-03-31,8.43,$2.03,4.15
2013-12-31,8.77,$1.57,5.59
2013-09-30,7.74,$1.16,6.67
2013-06-30,6.39,$0.74,8.63
2013-03-31,6.22,$-0.06,0.0
2012-12-31,5.14,$-0.27,0.0
2012-09-30,4.41,$0.03,147.06
2012-06-30,3.86,$-0.37,0.0
2012-03-31,4.82,$-0.50,0.0
2011-12-31,4.1,$-0.55,0.0
2011-09-30,3.86,$-0.82,0.0
2011-06-30,4.99,$-0.52,0.0
2011-03-31,5.32,$-0.03,0.0
2010-12-31,5.63,$0.13,43.27
2010-09-30,5.64,$0.03,188.04
2010-06-30,4.88,$-0.01,0.0
2010-03-31,5.03,$-0.31,0.0
2009-12-31,3.93,$-0.65,0.0
