Sezzle PE Ratio Historical Data,Sezzle PE Ratio Historical Data,Sezzle PE Ratio Historical Data,Sezzle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,231.96,,17.71
2024-12-31,255.8,$13.10,19.53
2024-09-30,170.59,$9.40,18.15
2024-06-30,88.22,$7.01,12.58
