Biomea Fusion PE Ratio Historical Data,Biomea Fusion PE Ratio Historical Data,Biomea Fusion PE Ratio Historical Data,Biomea Fusion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.77,,0.0
2024-09-30,10.1,$-4.01,0.0
2024-06-30,4.5,$-3.90,0.0
2024-03-31,14.95,$-3.57,0.0
2023-12-31,14.52,$-3.46,0.0
2023-09-30,13.76,$-3.34,0.0
2023-06-30,21.95,$-3.32,0.0
2023-03-31,31.01,$-3.21,0.0
2022-12-31,8.43,$-2.79,0.0
2022-09-30,9.78,$-2.44,0.0
2022-06-30,11.98,$-2.09,0.0
2022-03-31,4.46,$-1.83,0.0
