Enterprise Products Partners PE Ratio Historical Data,Enterprise Products Partners PE Ratio Historical Data,Enterprise Products Partners PE Ratio Historical Data,Enterprise Products Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.1,,12.68
2024-12-31,31.36,$2.69,11.66
2024-09-30,28.59,$2.67,10.71
2024-06-30,27.95,$2.62,10.67
2024-03-31,27.65,$2.55,10.84
2023-12-31,24.5,$2.52,9.72
2023-09-30,24.97,$2.45,10.19
2023-06-30,23.6,$2.47,9.55
2023-03-31,22.77,$2.54,8.96
2022-12-31,20.81,$2.50,8.32
2022-09-30,20.13,$2.32,8.68
2022-06-30,20.26,$2.22,9.13
2022-03-31,21.09,$2.08,10.14
2021-12-31,17.6,$2.10,8.38
2021-09-30,17.01,$1.78,9.56
2021-06-30,18.6,$1.74,10.69
2021-03-31,16.65,$1.71,9.74
2020-12-31,14.5,$1.71,8.48
2020-09-30,11.38,$2.06,5.53
2020-06-30,12.78,$2.04,6.26
2020-03-31,9.82,$2.12,4.63
2019-12-31,19.02,$2.08,9.14
2019-09-30,18.98,$2.17,8.75
2019-06-30,18.89,$2.31,8.18
2019-03-31,18.76,$2.07,9.06
2018-12-31,15.6,$1.91,8.17
2018-09-30,17.94,$1.68,10.68
2018-06-30,17.03,$1.36,12.52
2018-03-31,14.82,$1.35,10.98
2017-12-31,15.81,$1.30,12.17
2017-09-30,15.29,$1.25,12.23
2017-06-30,15.64,$1.27,12.32
2017-03-31,15.71,$1.24,12.67
2016-12-31,15.17,$1.20,12.64
2016-09-30,15.27,$1.23,12.41
2016-06-30,15.94,$1.25,12.75
2016-03-31,13.22,$1.26,10.49
2015-12-31,13.5,$1.26,10.71
2015-09-30,12.95,$1.26,10.28
2015-06-30,15.35,$1.31,11.72
2015-03-31,16.72,$1.37,12.21
2014-12-31,18.14,$1.48,12.3
2014-09-30,20.05,$1.51,13.28
2014-06-30,19.3,$1.46,13.22
2014-03-31,16.93,$1.42,11.92
2013-12-31,16.01,$1.41,11.35
2013-09-30,14.58,$1.38,10.6
2013-06-30,14.68,$1.39,10.6
2013-03-31,14.09,$1.41,10.03
2012-12-31,11.57,$1.36,8.54
2012-09-30,12.3,$1.43,8.63
2012-06-30,11.62,$1.37,8.48
2012-03-31,11.31,$1.31,8.67
2011-12-31,10.26,$1.19,8.66
2011-09-30,8.76,$0.94,9.32
2011-06-30,9.3,$0.90,10.33
2011-03-31,9.14,$0.88,10.44
2010-12-31,8.71,$0.88,9.9
2010-09-30,8.19,$1.02,8.07
2010-06-30,7.19,$0.96,7.49
2010-03-31,6.92,$0.89,7.78
2009-12-31,6.18,$0.85,7.31
