Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data,Marathon Petroleum PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,151.95,,15.3
2024-12-31,139.5,$9.93,14.05
2024-09-30,161.99,$12.62,12.84
2024-06-30,171.67,$19.03,9.02
2024-03-31,198.45,$20.02,9.91
2023-12-31,145.39,$23.53,6.18
2023-09-30,147.5,$26.78,5.51
2023-06-30,113.04,$27.56,4.1
2023-03-31,129.81,$33.19,3.91
2022-12-31,111.4,$28.59,3.9
2022-09-30,94.48,$22.77,4.15
2022-06-30,77.73,$14.80,5.25
2022-03-31,80.36,$16.85,4.77
2021-12-31,59.7,$14.99,3.98
2021-09-30,57.16,$14.01,4.08
2021-06-30,55.31,$11.35,4.87
2021-03-31,48.5,$-1.64,0.0
2020-12-31,37.08,$-15.52,0.0
2020-09-30,25.94,$-15.13,0.0
2020-06-30,32.54,$-11.90,0.0
2020-03-31,20.22,$-10.25,0.0
2019-12-31,51.05,$3.99,12.79
2019-09-30,51.04,$4.66,10.95
2019-06-30,46.42,$4.62,10.05
2019-03-31,49.21,$5.23,9.41
2018-12-31,48.12,$5.32,9.05
2018-09-30,64.74,$8.06,8.03
2018-06-30,56.46,$8.21,6.88
2018-03-31,58.48,$6.94,8.43
2017-12-31,52.42,$6.92,7.57
2017-09-30,44.26,$3.26,13.58
2017-06-30,40.99,$1.76,23.29
2017-03-31,39.32,$2.27,17.32
2016-12-31,38.9,$2.21,17.6
2016-09-30,31.1,$2.13,14.6
2016-06-30,28.83,$3.62,7.97
2016-03-31,27.99,$3.62,7.73
2015-12-31,38.64,$5.24,7.37
2015-09-30,34.33,$6.32,5.43
2015-06-30,38.54,$5.74,6.71
2015-03-31,37.54,$5.71,6.58
2014-12-31,32.93,$4.42,7.45
2014-09-30,30.72,$4.03,7.63
2014-06-30,28.17,$3.12,9.04
2014-03-31,31.26,$2.56,12.24
2013-12-31,32.79,$3.31,9.92
2013-09-30,22.87,$3.39,6.75
2013-06-30,24.96,$4.92,5.08
2013-03-31,31.33,$5.19,6.04
2012-12-31,21.94,$4.96,4.43
2012-09-30,18.89,$3.73,5.07
2012-06-30,15.44,$3.52,4.39
2012-03-31,14.8,$3.45,4.3
