CureVac PE Ratio Historical Data,CureVac PE Ratio Historical Data,CureVac PE Ratio Historical Data,CureVac PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.97,,5.4
2024-09-30,2.94,$0.55,5.35
2024-06-30,3.4,$-1.34,0.0
2024-03-31,3.03,$-1.33,0.0
2023-12-31,4.21,$-1.28,0.0
2023-09-30,6.83,$-0.86,0.0
2023-06-30,10.42,$-0.62,0.0
2023-03-31,6.97,$-0.29,0.0
2022-09-30,7.88,0,0.0
2022-03-31,19.61,0,0.0
