Pioneer Power Solutions PE Ratio Historical Data,Pioneer Power Solutions PE Ratio Historical Data,Pioneer Power Solutions PE Ratio Historical Data,Pioneer Power Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.47,,0.0
2024-09-30,4.69,$-0.68,0.0
2024-06-30,3.97,$-0.48,0.0
2024-03-31,5.71,$-0.30,0.0
2023-12-31,6.79,$-0.19,0.0
2023-09-30,6.26,$0.18,34.78
2023-06-30,8.4,$-0.05,0.0
2023-03-31,3.52,$-0.28,0.0
2022-12-31,2.68,$-0.37,0.0
2022-09-30,2.83,$-0.63,0.0
2022-06-30,2.87,$-0.55,0.0
2022-03-31,5.66,$-0.37,0.0
2021-12-31,7.5,$-0.25,0.0
2021-09-30,3.32,$-0.09,0.0
2021-06-30,4.67,$0.11,42.45
2021-03-31,4.72,$0.11,42.95
2020-12-31,3.77,$-0.26,0.0
2020-09-30,1.5,$-0.26,0.0
2020-06-30,1.71,$0.39,4.4
2020-03-31,1.64,$0.01,163.5
2019-12-31,2.21,$0.99,2.23
2019-09-30,3.98,$0.49,8.13
2019-06-30,3.5,$-0.30,0.0
2019-03-31,3.58,$0.07,51.2
2018-12-31,3.87,$-0.65,0.0
2018-09-30,3.61,$-1.30,0.0
2018-06-30,3.76,$-1.40,0.0
2018-03-31,4.87,$-1.16,0.0
2017-12-31,5.61,$-1.07,0.0
2017-09-30,5.66,$-0.11,0.0
2017-06-30,4.83,$0.02,241.51
2017-03-31,5.53,$-0.11,0.0
2016-12-31,4.39,$-0.06,0.0
2016-09-30,4.26,$-0.02,0.0
2016-06-30,3.95,$-0.54,0.0
2016-03-31,3.72,$-0.67,0.0
2015-12-31,2.91,$-0.77,0.0
2015-09-30,2.84,$-1.03,0.0
2015-06-30,5.27,$-0.30,0.0
2015-03-31,6.66,$-0.15,0.0
2014-12-31,6.89,$-0.04,0.0
2014-09-30,5.93,$0.66,8.98
2014-06-30,6.14,$0.58,10.58
2014-03-31,6.42,$0.75,8.55
