Health Catalyst PE Ratio Historical Data,Health Catalyst PE Ratio Historical Data,Health Catalyst PE Ratio Historical Data,Health Catalyst PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.33,,0.0
2024-12-31,7.07,$-1.15,0.0
2024-09-30,8.14,$-1.35,0.0
2024-06-30,6.39,$-1.50,0.0
2024-03-31,7.53,$-1.85,0.0
2023-12-31,9.26,$-2.10,0.0
2023-09-30,10.12,$-2.23,0.0
2023-06-30,12.5,$-2.68,0.0
2023-03-31,11.67,$-2.72,0.0
2022-12-31,10.63,$-2.66,0.0
2022-09-30,9.7,$-2.94,0.0
2022-06-30,14.49,$-2.92,0.0
2022-03-31,26.13,$-3.10,0.0
2021-12-31,39.62,$-3.21,0.0
2021-09-30,50.01,$-3.28,0.0
2021-06-30,55.51,$-3.14,0.0
2021-03-31,46.77,$-3.05,0.0
2020-12-31,43.53,$-2.87,0.0
2020-09-30,36.6,$-2.25,0.0
2020-06-30,29.17,$-2.97,0.0
