Ryvyl PE Ratio Historical Data,Ryvyl PE Ratio Historical Data,Ryvyl PE Ratio Historical Data,Ryvyl PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.15,,0.0
2024-09-30,1.32,$-8.52,0.0
2024-06-30,1.45,$-8.36,0.0
2024-03-31,2.91,$-8.78,0.0
2023-12-31,4.16,$-9.83,0.0
2023-09-30,3.02,$-7.60,0.0
2023-06-30,0.75,$-10.20,0.0
2023-03-31,0.41,$-5.50,0.0
2022-12-31,0.46,$-9.10,0.0
2022-09-30,0.98,$-7.50,0.0
2022-06-30,1.05,$-5.70,0.0
2022-03-31,4.22,$-8.10,0.0
2021-12-31,4.2,$-6.80,0.0
