Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data,Hilton Worldwide Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,231.91,,37.71
2024-12-31,247.16,$6.15,40.19
2024-09-30,230.36,$4.66,49.43
2024-06-30,217.92,$4.72,46.17
2024-03-31,212.88,$4.60,46.28
2023-12-31,181.59,$4.33,41.94
2023-09-30,149.63,$4.97,30.11
2023-06-30,144.87,$4.79,30.24
2023-03-31,140.07,$4.56,30.72
2022-12-31,125.51,$4.54,27.65
2022-09-30,119.67,$3.85,31.08
2022-06-30,110.44,$3.45,32.01
2022-03-31,150.22,$2.59,58.0
2021-12-31,154.43,$1.45,106.5
2021-09-30,130.79,$0.13,1006.04
2021-06-30,119.41,$-1.01,0.0
2021-03-31,119.71,$-3.02,0.0
2020-12-31,110.14,$-2.57,0.0
2020-09-30,84.46,$-1.16,0.0
2020-06-30,72.71,$0.12,605.95
2020-03-31,67.56,$2.56,26.39
2019-12-31,109.63,$3.04,36.06
2019-09-30,91.89,$3.18,28.9
2019-06-30,96.31,$2.72,35.41
2019-03-31,81.77,$2.54,32.19
2018-12-31,70.51,$2.51,28.09
2018-09-30,79.16,$4.37,18.12
2018-06-30,77.42,$4.38,17.68
2018-03-31,76.89,$4.18,18.4
2017-12-31,77.82,$3.89,20.01
2017-09-30,67.54,$0.11,614.0
2017-06-30,60.0,$0.13,461.22
2017-03-31,56.58,$0.34,166.31
2016-12-31,78.76,$1.05,74.99
2016-09-30,66.2,$4.68,14.14
2016-06-30,64.86,$4.95,13.1
2016-03-31,64.62,$4.71,13.72
2015-12-31,61.2,$4.23,14.47
2015-09-30,65.41,$2.25,29.07
2015-06-30,78.34,$1.98,39.56
2015-03-31,84.23,$2.13,39.54
2014-12-31,74.19,$2.04,36.36
2014-09-30,70.04,$1.65,42.44
