Ensysce Biosciences PE Ratio Historical Data,Ensysce Biosciences PE Ratio Historical Data,Ensysce Biosciences PE Ratio Historical Data,Ensysce Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.56,,0.0
2024-12-31,8.14,$-10.49,0.0
2024-09-30,3.6,$-27.44,0.0
2024-06-30,7.6,$-41.53,0.0
2024-03-31,11.85,$-52.92,0.0
2023-12-31,15.9,$-75.86,0.0
2023-09-30,20.7,$-332.49,0.0
2023-06-30,27.0,"$-1,242.76",0.0
2023-03-31,72.9,"$-2,091.98",0.0
2022-12-31,135.0,"$-2,276.78",0.0
2022-09-30,774.0,"$-3,623.04",0.0
2022-06-30,3126.24,"$-5,255.47",0.0
2022-03-31,4104.0,"$-4,607.54",0.0
2021-12-31,16920.0,"$-4,391.56",0.0
2021-09-30,10908.0,"$-2,771.72",0.0
2021-06-30,51444.0,$-215.98,0.0
2021-03-31,47087.64,"$1,439.85",32.7
2020-12-31,44764.92,"$1,439.85",31.09
2020-09-30,38520.0,"$1,439.85",26.75
2020-06-30,42156.36,"$1,439.85",29.28
2020-03-31,39276.0,$-323.97,0.0
2019-12-31,37512.0,$-467.96,0.0
2019-09-30,36864.0,$-755.93,0.0
2019-06-30,36612.0,$-935.92,0.0
2019-03-31,36131.04,$-791.93,0.0
2018-12-31,35352.0,$-719.94,0.0
