Home Federal Bancorp Of Louisiana PE Ratio Historical Data,Home Federal Bancorp Of Louisiana PE Ratio Historical Data,Home Federal Bancorp Of Louisiana PE Ratio Historical Data,Home Federal Bancorp Of Louisiana PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.88,,11.81
2024-12-31,12.55,$1.09,11.51
2024-09-30,12.47,$1.09,11.44
2024-06-30,11.23,$1.17,9.6
2024-03-31,12.46,$1.36,9.16
2023-12-31,13.77,$1.46,9.43
2023-09-30,13.8,$1.68,8.21
2023-06-30,13.25,$1.81,7.32
2023-03-31,16.0,$1.72,9.31
2022-12-31,15.93,$1.75,9.11
2022-09-30,17.32,$1.54,11.25
2022-06-30,18.09,$1.40,12.92
2022-03-31,19.0,$1.46,13.01
2021-12-31,18.57,$1.50,12.38
2021-09-30,16.99,$1.58,10.79
2021-06-30,17.57,$1.57,11.23
2021-03-31,14.08,$1.50,9.39
2020-12-31,12.88,$1.36,9.47
2020-09-30,10.21,$1.11,9.24
2020-06-30,10.92,$1.08,10.16
2020-03-31,10.92,$1.08,10.12
2019-12-31,15.55,$1.13,13.83
2019-09-30,14.14,$1.28,11.09
2019-06-30,14.33,$1.25,11.46
2019-03-31,13.71,$1.25,11.01
2018-12-31,12.58,$1.20,10.49
2018-09-30,14.5,$0.99,14.72
2018-06-30,13.32,$0.94,14.24
2018-03-31,12.66,$0.90,14.07
2017-12-31,11.81,$0.85,13.9
2017-09-30,11.16,$0.96,11.69
2017-06-30,11.22,$0.96,11.75
2017-03-31,11.99,$0.95,12.69
2016-12-31,11.11,$0.93,12.01
2016-09-30,9.62,$0.90,10.68
2016-06-30,8.8,$0.87,10.12
2016-03-31,9.2,$0.83,11.15
2015-12-31,9.47,$0.84,11.34
2015-09-30,9.28,$0.87,10.73
2015-06-30,8.17,$0.83,9.84
2015-03-31,7.76,$0.80,9.76
2014-12-31,7.84,$0.74,10.6
2014-09-30,7.7,$0.69,11.24
2014-06-30,7.78,$0.65,11.98
2014-03-31,7.84,$0.62,12.75
2013-12-31,7.05,$0.61,11.55
2013-09-30,6.67,$0.64,10.5
2013-06-30,6.79,$0.65,10.53
2013-03-31,6.93,$0.64,10.83
2012-12-31,6.81,$0.60,11.44
2012-09-30,6.92,$0.54,12.94
2012-06-30,5.7,$0.50,11.4
2012-03-31,5.48,$0.45,12.32
2011-12-31,5.44,$0.40,13.77
2011-09-30,4.96,$0.28,17.71
2011-06-30,4.96,$0.25,19.86
2011-03-31,4.95,$0.25,20.03
2010-12-31,4.32,$0.14,30.31
2010-09-30,3.53,$0.19,18.92
2010-06-30,2.97,$0.12,24.6
2010-03-31,3.13,$0.04,81.57
2009-12-31,3.29,$0.13,25.0
