Royal Bank Of Canada PE Ratio Historical Data,Royal Bank Of Canada PE Ratio Historical Data,Royal Bank Of Canada PE Ratio Historical Data,Royal Bank Of Canada PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,113.81,,12.79
2025-01-31,121.93,$8.90,13.7
2024-10-31,120.89,$8.26,14.64
2024-07-31,110.47,$8.27,13.36
2024-04-30,94.84,$8.06,11.77
2024-01-31,94.62,$7.94,11.92
2023-10-31,76.64,$7.79,9.84
2023-07-31,93.94,$7.71,12.18
2023-04-30,93.15,$7.61,12.24
2023-01-31,95.07,$8.05,11.81
2022-10-31,85.04,$8.60,9.89
2022-07-31,88.76,$8.67,10.24
2022-04-30,91.02,$9.14,9.96
2022-01-31,101.82,$8.99,11.33
2021-10-31,92.08,$8.81,10.45
2021-07-31,88.82,$8.37,10.61
2021-04-30,83.06,$7.56,10.99
2021-01-31,69.76,$6.11,11.42
2020-10-31,59.77,$5.86,10.2
2020-07-31,58.35,$5.82,10.03
2020-04-30,51.42,$5.87,8.76
2020-01-31,65.07,$6.78,9.6
2019-10-31,65.82,$6.58,10.0
2019-07-31,63.76,$6.61,9.65
2019-04-30,63.77,$6.58,9.69
2019-01-31,60.38,$6.55,9.22
2018-10-31,57.17,$6.52,8.77
2018-07-31,60.56,$6.35,9.54
2018-04-30,58.53,$6.10,9.59
2018-01-31,65.29,$5.87,11.12
2017-10-31,59.06,$5.76,10.25
2017-07-31,55.84,$5.52,10.12
2017-04-30,50.81,$5.43,9.36
2017-01-31,52.84,$4.04,13.08
2016-10-31,45.53,$3.74,12.17
2016-07-31,43.98,$3.79,11.61
2016-03-31,40.68,$3.85,10.57
2016-01-31,36.22,$5.19,6.98
2015-10-31,39.72,$5.32,7.47
2015-07-31,40.35,$5.38,7.5
2015-04-30,45.5,$5.48,8.3
2015-01-31,38.37,$5.49,6.99
2014-10-31,47.77,$5.43,8.8
2014-07-31,49.08,$5.36,9.16
2014-04-30,44.02,$5.35,8.23
2014-01-31,40.39,$5.23,7.72
2013-10-31,43.44,$5.29,8.21
2013-07-31,39.9,$5.24,7.61
2013-04-30,38.31,$5.28,7.26
2013-01-31,39.12,$5.01,7.81
2012-10-31,35.45,$4.93,7.19
2012-07-31,31.45,$4.72,6.66
2012-04-30,35.16,$3.13,11.23
2012-01-31,31.54,$3.20,9.86
2011-10-31,29.17,$3.24,9.0
2011-07-31,31.68,$2.92,10.85
2011-04-30,36.75,$3.83,9.59
2011-01-31,31.09,$3.66,8.49
2010-10-31,30.87,$3.35,9.22
2010-07-31,29.96,$3.40,8.81
2010-04-30,34.36,$3.61,9.52
2010-01-31,27.63,$2.69,10.27
2009-10-31,28.12,$2.33,12.07
