Radcom PE Ratio Historical Data,Radcom PE Ratio Historical Data,Radcom PE Ratio Historical Data,Radcom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.34,,26.26
2024-09-30,10.34,$0.47,22.0
2024-06-30,9.35,$0.31,30.16
2024-03-31,11.16,$0.25,44.64
2023-12-31,8.06,$0.24,33.58
2023-09-30,8.69,$0.07,124.14
2023-06-30,9.46,$0.06,157.67
2023-03-31,10.08,$-0.08,0.0
2022-12-31,10.94,$-0.16,0.0
2022-09-30,11.39,$-0.26,0.0
2022-06-30,11.5,$-0.31,0.0
2022-03-31,12.98,$-0.30,0.0
2021-12-31,13.05,$-0.38,0.0
2021-09-30,11.4,$-0.31,0.0
2021-06-30,11.2,$-0.26,0.0
2021-03-31,9.88,$-0.19,0.0
2020-12-31,10.95,$-0.28,0.0
2020-09-30,9.46,$-0.33,0.0
2020-06-30,8.14,$-0.42,0.0
2020-03-31,6.08,$-0.48,0.0
2019-12-31,8.52,$-0.50,0.0
2019-09-30,9.16,$-0.72,0.0
2019-06-30,8.23,$-0.55,0.0
2019-03-31,7.42,$-0.43,0.0
2018-12-31,7.42,$-0.18,0.0
2018-09-30,11.25,$0.29,38.79
2018-06-30,19.75,$0.34,58.09
2018-03-31,18.35,$0.27,67.96
2017-12-31,19.85,$0.22,90.23
2017-09-30,21.05,$-0.01,0.0
2017-06-30,19.35,$-0.11,0.0
2017-03-31,21.5,$0.08,268.75
2016-12-31,17.8,$0.21,84.76
2016-09-30,20.42,$0.02,1021.0
2016-06-30,11.65,$0.08,145.63
2016-03-31,13.69,$-0.07,0.0
2015-12-31,14.93,$-0.12,0.0
2015-09-30,11.1,$0.09,123.33
2015-06-30,10.53,$0.12,87.75
2015-03-31,10.17,$0.12,84.75
2014-12-31,12.13,$0.08,151.63
2014-09-30,5.9,$0.13,45.38
2014-06-30,5.25,$-0.11,0.0
2014-03-31,6.69,$-0.10,0.0
2013-12-31,5.3,$-0.20,0.0
2013-09-30,5.27,$-0.26,0.0
2013-06-30,3.25,$-0.39,0.0
2013-03-31,3.13,$-0.70,0.0
2012-12-31,2.46,$-0.74,0.0
2012-09-30,3.24,$-0.68,0.0
2012-06-30,4.28,$-0.74,0.0
2012-03-31,5.2,$-0.45,0.0
2011-12-31,4.05,$-0.30,0.0
2011-09-30,3.72,$-0.30,0.0
2011-06-30,5.14,$0.10,51.4
2011-03-31,9.92,$0.10,99.2
2010-12-31,11.15,$0.09,123.91
2010-09-30,9.17,$0.10,91.69
2010-06-30,5.0,$-0.04,0.0
2010-03-31,2.89,$-0.22,0.0
2009-12-31,1.69,$-0.53,0.0
