Sun Country Airlines Holdings PE Ratio Historical Data,Sun Country Airlines Holdings PE Ratio Historical Data,Sun Country Airlines Holdings PE Ratio Historical Data,Sun Country Airlines Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.91,,13.59
2024-12-31,14.58,$0.95,15.35
2024-09-30,11.21,$0.81,13.84
2024-06-30,12.56,$0.90,13.96
2024-03-31,15.09,$1.22,12.37
2023-12-31,15.73,$1.22,12.89
2023-09-30,14.84,$1.24,11.97
2023-06-30,22.48,$1.29,17.43
2023-03-31,20.5,$0.87,23.56
2022-12-31,15.86,$0.29,54.69
2022-09-30,13.61,$0.16,85.06
2022-06-30,18.34,$0.21,87.33
2022-03-31,26.18,$1.11,23.59
2021-12-31,27.25,$1.29,21.12
