Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data,Verisk Analytics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,287.68,,42.94
2024-12-31,275.43,$6.70,41.11
2024-09-30,267.59,$6.41,41.75
2024-06-30,268.79,$6.16,43.63
2024-03-31,234.72,$5.36,43.79
2023-12-31,237.44,$4.21,56.4
2023-09-30,234.49,$3.40,68.97
2023-06-30,224.05,$3.31,67.69
2023-03-31,189.89,$3.20,59.34
2022-12-31,174.28,$5.96,29.24
2022-09-30,168.18,$6.44,26.11
2022-06-30,170.42,$6.48,26.3
2022-03-31,210.9,$6.18,34.13
2021-12-31,224.38,$4.08,55.0
2021-09-30,196.21,$4.28,45.84
2021-06-30,170.94,$4.16,41.09
2021-03-31,172.58,$4.30,40.13
2020-12-31,202.42,$4.31,46.96
2020-09-30,180.44,$4.04,44.66
2020-06-30,165.49,$3.12,53.04
2020-03-31,135.3,$2.94,46.02
2019-12-31,144.68,$2.71,53.39
2019-09-30,152.95,$2.78,55.02
2019-06-30,141.43,$3.57,39.62
2019-03-31,128.21,$3.58,35.81
2018-12-31,104.91,$3.56,29.47
2018-09-30,115.98,$3.91,29.66
2018-06-30,103.56,$3.64,28.45
2018-03-31,100.06,$3.45,29.0
2017-12-31,92.36,$3.30,27.99
2017-09-30,80.04,$2.72,29.43
2017-06-30,81.17,$2.74,29.63
2017-03-31,78.07,$3.55,21.99
2016-12-31,78.09,$3.45,22.64
2016-09-30,78.2,$3.47,22.54
2016-06-30,78.01,$3.50,22.29
2016-03-31,76.89,$2.94,26.15
2015-12-31,73.97,$3.01,24.57
2015-09-30,71.11,$2.93,24.27
2015-06-30,70.0,$2.74,25.55
2015-03-31,68.69,$2.29,30.0
2014-12-31,61.62,$2.36,26.11
2014-09-30,58.58,$2.29,25.58
2014-06-30,57.75,$2.27,25.44
2014-03-31,57.69,$2.24,25.75
2013-12-31,63.23,$2.03,31.15
2013-09-30,62.5,$2.09,29.9
2013-06-30,57.44,$2.01,28.58
2013-03-31,59.29,$1.95,30.4
2012-12-31,49.04,$1.92,25.54
2012-09-30,45.81,$1.82,25.17
2012-06-30,47.39,$1.75,27.08
2012-03-31,45.19,$1.70,26.58
2011-12-31,38.61,$1.63,23.69
2011-09-30,33.45,$1.53,21.86
2011-06-30,33.31,$1.46,22.81
2011-03-31,31.52,$1.39,22.68
2010-12-31,32.79,$1.31,25.03
2010-09-30,26.95,$0.91,29.61
