Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data,Celanese PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,56.82,,0.0
2024-12-31,69.21,$-13.93,0.0
2024-09-30,135.21,$9.94,13.6
2024-06-30,133.48,$17.57,7.6
2024-03-31,169.3,$18.17,9.32
2023-12-31,152.35,$17.90,8.51
2023-09-30,122.32,$18.56,6.59
2023-06-30,112.23,$11.62,9.66
2023-03-31,104.84,$13.59,7.71
2022-12-31,97.86,$17.37,5.63
2022-09-30,85.85,$15.13,5.67
2022-06-30,111.09,$17.94,6.19
2022-03-31,134.3,$18.73,7.17
2021-12-31,157.24,$16.94,9.28
2021-09-30,140.35,$24.65,5.69
2021-06-30,140.62,$21.84,6.44
2021-03-31,138.36,$17.97,7.7
2020-12-31,119.38,$16.97,7.03
2020-09-30,98.19,$4.83,20.33
2020-06-30,78.38,$5.21,15.04
2020-03-31,66.1,$5.97,11.07
2019-12-31,110.27,$6.78,16.26
2019-09-30,108.98,$7.17,15.2
2019-06-30,95.54,$8.00,11.94
2019-03-31,86.9,$8.86,9.81
2018-12-31,78.86,$8.89,8.87
2018-09-30,99.92,$9.63,10.38
2018-06-30,96.89,$8.32,11.65
2018-03-31,87.0,$7.46,11.66
2017-12-31,92.54,$6.10,15.17
2017-09-30,89.72,$5.73,15.66
2017-06-30,81.3,$5.89,13.8
2017-03-31,76.54,$5.73,13.36
2016-12-31,66.81,$6.16,10.85
2016-09-30,56.19,$3.01,18.67
2016-06-30,54.95,$2.27,24.21
2016-03-31,54.72,$2.10,26.06
2015-12-31,55.95,$1.90,29.45
2015-09-30,48.96,$3.38,14.48
2015-06-30,59.2,$3.94,15.03
2015-03-31,45.8,$4.27,10.73
2014-12-31,48.95,$3.99,12.27
2014-09-30,47.57,$8.69,5.47
2014-06-30,52.03,$8.14,6.39
2014-03-31,44.75,$7.31,6.12
2013-12-31,44.43,$6.95,6.39
2013-09-30,42.27,$3.39,12.47
2013-06-30,35.74,$3.04,11.76
2013-03-31,35.08,$3.52,9.97
2012-12-31,35.41,$3.78,9.37
2012-09-30,30.08,$3.79,7.94
2012-06-30,27.42,$4.11,6.67
2012-03-31,36.53,$4.08,8.95
2011-12-31,34.97,$3.83,9.13
2011-09-30,25.66,$3.58,7.17
2011-06-30,42.0,$3.45,12.17
2011-03-31,34.92,$3.18,10.98
2010-12-31,32.36,$2.38,13.6
2010-09-30,25.2,$2.05,12.29
2010-06-30,19.52,$3.66,5.33
2010-03-31,24.92,$3.31,7.53
2009-12-31,25.09,$3.05,8.23
