Houlihan Lokey PE Ratio Historical Data,Houlihan Lokey PE Ratio Historical Data,Houlihan Lokey PE Ratio Historical Data,Houlihan Lokey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,162.27,,30.97
2024-12-31,173.66,$5.24,33.14
2024-09-30,157.54,$4.89,32.22
2024-06-30,133.95,$4.51,29.7
2024-03-31,127.32,$4.11,30.98
2023-12-31,118.59,$4.03,29.43
2023-09-30,105.4,$3.89,27.1
2023-06-30,96.23,$3.77,25.53
2023-03-31,85.11,$3.90,21.82
2022-12-31,84.32,$3.77,22.36
2022-09-30,72.53,$5.41,13.41
2022-06-30,75.43,$6.19,12.19
2022-03-31,83.38,$6.41,13.01
2021-12-31,97.89,$6.88,14.23
2021-09-30,86.74,$6.05,14.34
2021-06-30,76.66,$5.10,15.03
2021-03-31,61.99,$4.54,13.65
2020-12-31,62.34,$4.00,15.59
2020-09-30,54.48,$3.04,17.92
2020-06-30,51.05,$2.84,17.98
2020-03-31,47.58,$2.80,16.99
2019-12-31,44.35,$2.59,17.12
2019-09-30,40.67,$2.51,16.2
2019-06-30,39.87,$2.62,15.22
2019-03-31,40.77,$2.42,16.85
2018-12-31,32.54,$2.31,14.09
2018-09-30,39.47,$2.57,15.36
2018-06-30,44.74,$2.46,18.19
2018-03-31,38.74,$2.60,14.9
2017-12-31,39.29,$2.53,15.53
2017-09-30,33.69,$2.11,15.97
2017-06-30,29.88,$1.92,15.56
2017-03-31,29.32,$1.62,18.1
2016-12-31,26.32,$1.46,18.03
2016-09-30,21.07,$1.30,16.2
2016-06-30,18.68,$1.14,16.39
