CuriosityStream PE Ratio Historical Data,CuriosityStream PE Ratio Historical Data,CuriosityStream PE Ratio Historical Data,CuriosityStream PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.0,,0.0
2024-09-30,1.89,$-0.28,0.0
2024-06-30,1.1,$-0.72,0.0
2024-03-31,1.01,$-0.87,0.0
2023-12-31,0.51,$-0.93,0.0
2023-09-30,0.67,$-1.12,0.0
2023-06-30,0.88,$-0.71,0.0
2023-03-31,1.28,$-0.82,0.0
2022-12-31,1.08,$-0.97,0.0
2022-09-30,1.38,$-0.91,0.0
2022-06-30,1.6,$-0.96,0.0
2022-03-31,2.75,$-0.85,0.0
2021-12-31,5.62,$-0.94,0.0
2021-09-30,9.99,$-1.69,0.0
2021-06-30,12.93,$-2.11,0.0
2021-03-31,12.85,$-1.92,0.0
2020-12-31,13.22,$-1.53,0.0
