Hain Celestial PE Ratio Historical Data,Hain Celestial PE Ratio Historical Data,Hain Celestial PE Ratio Historical Data,Hain Celestial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.74,,0.0
2024-12-31,6.15,$-1.94,0.0
2024-09-30,8.63,$-0.94,0.0
2024-06-30,6.91,$-0.84,0.0
2024-03-31,7.86,$-1.02,0.0
2023-12-31,10.95,$-1.77,0.0
2023-09-30,10.37,$-1.50,0.0
2023-06-30,12.51,$-1.30,0.0
2023-03-31,17.15,$-1.06,0.0
2022-12-31,16.18,$0.50,32.36
2022-09-30,16.88,$0.71,23.77
2022-06-30,23.74,$0.83,28.6
2022-03-31,34.4,$1.20,28.67
2021-12-31,42.61,$1.27,33.55
2021-09-30,42.78,$0.96,44.56
2021-06-30,40.12,$0.76,52.79
2021-03-31,43.6,$0.40,109.0
2020-12-31,40.15,$0.29,138.45
2020-09-30,34.3,$0.26,131.92
2020-06-30,31.51,$-0.77,0.0
2020-03-31,25.97,$-0.94,0.0
2019-12-31,25.96,$-1.80,0.0
2019-09-30,21.48,$-2.43,0.0
2019-06-30,21.9,$-1.76,0.0
2019-03-31,23.12,$-2.30,0.0
2018-12-31,15.86,$-1.55,0.0
2018-09-30,27.12,$-0.46,0.0
2018-06-30,29.8,$0.09,331.11
2018-03-31,32.07,$0.76,42.2
2017-12-31,42.39,$0.94,45.1
2017-09-30,41.15,$0.75,54.87
2017-06-30,38.82,$0.64,60.66
2017-03-31,37.2,$-0.22,0.0
2016-12-31,39.03,$-0.05,0.0
2016-09-30,35.58,$0.24,148.25
2016-06-30,49.75,$0.46,108.15
2016-03-31,40.91,$2.00,20.46
2015-12-31,40.39,$1.85,21.83
2015-09-30,51.6,$1.73,29.83
2015-06-30,65.86,$1.62,40.78
2015-03-31,64.05,$1.29,49.84
2014-12-31,58.29,$1.31,44.5
2014-09-30,51.18,$1.30,39.37
2014-06-30,44.37,$1.40,31.69
2014-03-31,45.72,$1.32,34.76
2013-12-31,45.39,$1.40,32.54
2013-09-30,38.56,$1.31,29.44
2013-06-30,32.51,$1.20,27.09
2013-03-31,30.54,$1.19,25.77
2012-12-31,27.11,$1.02,26.58
2012-09-30,31.5,$0.91,34.81
2012-06-30,27.52,$0.86,32.0
2012-03-31,21.91,$0.75,29.21
2011-12-31,18.33,$0.68,26.96
2011-09-30,15.28,$0.65,23.68
2011-06-30,16.68,$0.62,26.9
2011-03-31,16.14,$0.56,28.82
2010-12-31,13.53,$0.40,33.83
2010-09-30,11.99,$0.35,34.26
2010-06-30,10.09,$0.35,29.23
2010-03-31,8.69,$0.28,31.04
2009-12-31,8.51,$-0.26,0.0
