ONE Group Hospitality PE Ratio Historical Data,ONE Group Hospitality PE Ratio Historical Data,ONE Group Hospitality PE Ratio Historical Data,ONE Group Hospitality PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.69,,0.0
2024-12-31,2.9,$-0.95,0.0
2024-09-30,3.68,$-0.80,0.0
2024-06-30,4.25,$-0.38,0.0
2024-03-31,5.57,$-0.00,0.0
2023-12-31,6.12,$0.15,40.8
2023-09-30,5.5,$0.15,36.67
2023-06-30,7.32,$0.26,28.15
2023-03-31,8.1,$0.37,21.89
2022-12-31,6.3,$0.40,15.75
2022-09-30,6.64,$0.42,15.81
2022-06-30,7.37,$0.75,9.83
2022-03-31,10.51,$1.03,10.2
2021-12-31,12.61,$0.92,13.71
2021-09-30,10.69,$0.60,17.82
2021-06-30,11.02,$0.23,47.91
2021-03-31,7.48,$-0.28,0.0
2020-12-31,3.7,$-0.44,0.0
2020-09-30,2.0,$0.37,5.41
2020-06-30,1.63,$0.42,3.88
2020-03-31,1.29,$0.51,2.53
2019-12-31,3.64,$0.70,5.2
2019-09-30,2.8,$0.15,18.67
2019-06-30,3.2,$0.12,26.67
2019-03-31,2.96,$0.14,21.14
2018-12-31,3.07,$0.12,25.58
2018-09-30,3.53,0,0.0
2018-06-30,2.43,$-0.04,0.0
2018-03-31,2.75,$-0.14,0.0
2017-12-31,2.39,$-0.17,0.0
2017-09-30,1.68,$-0.80,0.0
2017-06-30,2.17,$-0.69,0.0
2017-03-31,1.9,$-0.66,0.0
2016-12-31,2.22,$-0.66,0.0
2016-09-30,2.5,$0.05,49.99
2016-06-30,2.61,$-0.09,0.0
2016-03-31,3.0,$0.31,9.68
2015-12-31,2.97,$0.29,10.24
2015-09-30,3.55,$0.28,12.68
2015-06-30,4.19,$0.39,10.74
2015-03-31,5.0,$0.17,29.41
