Longeveron PE Ratio Historical Data,Longeveron PE Ratio Historical Data,Longeveron PE Ratio Historical Data,Longeveron PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.76,,0.0
2024-12-31,1.73,$-3.78,0.0
2024-09-30,1.94,$-6.28,0.0
2024-06-30,1.61,$-8.74,0.0
2024-03-31,3.25,$-9.61,0.0
2023-12-31,1.36,$-10.20,0.0
2023-09-30,2.34,$-9.80,0.0
2023-06-30,3.38,$-9.50,0.0
2023-03-31,2.67,$-9.50,0.0
2022-12-31,3.22,$-9.00,0.0
2022-09-30,3.7,$-8.90,0.0
2022-06-30,5.93,$-8.90,0.0
2022-03-31,13.8,$-8.80,0.0
2021-12-31,12.07,$-8.90,0.0
