AvePoint PE Ratio Historical Data,AvePoint PE Ratio Historical Data,AvePoint PE Ratio Historical Data,AvePoint PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.07,,0.0
2024-12-31,16.51,$-0.16,0.0
2024-09-30,11.77,$-0.05,0.0
2024-06-30,10.42,$-0.08,0.0
2024-03-31,7.92,$-0.08,0.0
2023-12-31,8.21,$-0.12,0.0
2023-09-30,6.72,$-0.21,0.0
2023-06-30,5.76,$-0.23,0.0
2023-03-31,4.12,$-0.21,0.0
2022-12-31,4.11,$-0.22,0.0
2022-09-30,4.01,$-0.19,0.0
2022-06-30,4.34,$-0.20,0.0
2022-03-31,5.26,$-3.24,0.0
2021-12-31,6.29,$-3.18,0.0
2021-09-30,8.49,$-3.14,0.0
2021-06-30,12.25,$-3.09,0.0
2021-03-31,11.08,0,0.0
2020-12-31,15.01,0,0.0
2020-09-30,10.6,0,0.0
