Ekso Bionics Holdings PE Ratio Historical Data,Ekso Bionics Holdings PE Ratio Historical Data,Ekso Bionics Holdings PE Ratio Historical Data,Ekso Bionics Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.45,,0.0
2024-12-31,0.61,$-0.57,0.0
2024-09-30,1.16,$-0.65,0.0
2024-06-30,1.06,$-0.79,0.0
2024-03-31,1.36,$-0.97,0.0
2023-12-31,2.5,$-1.10,0.0
2023-09-30,0.73,$-1.12,0.0
2023-06-30,1.43,$-1.21,0.0
2023-03-31,1.65,$-1.13,0.0
2022-12-31,1.19,$-1.16,0.0
2022-09-30,1.56,$-1.15,0.0
2022-06-30,1.65,$-0.99,0.0
2022-03-31,2.89,$-0.87,0.0
2021-12-31,2.65,$-0.85,0.0
2021-09-30,4.62,$-1.10,0.0
2021-06-30,5.5,$-0.94,0.0
2021-03-31,6.17,$-2.71,0.0
2020-12-31,6.13,$-2.81,0.0
2020-09-30,4.75,$-2.93,0.0
2020-06-30,8.4,$-2.92,0.0
2020-03-31,2.83,$-1.64,0.0
2019-12-31,5.87,$-2.70,0.0
2019-09-30,7.95,$-3.15,0.0
2019-06-30,19.05,$-4.80,0.0
2019-03-31,37.65,$-6.15,0.0
2018-12-31,18.6,$-6.60,0.0
2018-09-30,35.1,$-7.80,0.0
2018-06-30,26.85,$-8.85,0.0
2018-03-31,23.7,$-10.20,0.0
2017-12-31,31.95,$-13.94,0.0
2017-09-30,18.15,$-16.94,0.0
2017-06-30,34.8,$-23.24,0.0
