Taiwan Semiconductor Manufacturing PE Ratio Historical Data,Taiwan Semiconductor Manufacturing PE Ratio Historical Data,Taiwan Semiconductor Manufacturing PE Ratio Historical Data,Taiwan Semiconductor Manufacturing PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,177.47,,28.44
2024-09-30,173.11,$6.24,27.74
2024-06-30,172.62,$5.59,30.88
2024-03-31,134.7,$5.25,25.66
2023-12-31,102.56,$5.18,19.8
2023-09-30,85.3,$5.56,15.34
2023-06-30,98.56,$6.06,16.26
2023-03-31,90.47,$6.47,13.98
2022-12-31,72.08,$6.56,10.99
2022-09-30,65.96,$5.89,11.2
2022-06-30,78.22,$5.18,15.1
2022-03-31,99.21,$4.56,21.76
2021-12-31,113.97,$4.12,27.66
2021-09-30,105.32,$3.94,26.73
2021-06-30,112.89,$3.76,30.02
2021-03-31,110.71,$3.61,30.67
2020-12-31,101.68,$3.40,29.91
2020-09-30,75.28,$3.16,23.82
2020-06-30,52.44,$2.88,18.21
2020-03-31,43.81,$2.51,17.45
2019-12-31,52.76,$2.14,24.65
2019-09-30,41.91,$2.04,20.54
2019-06-30,35.06,$1.98,17.71
2019-03-31,35.52,$2.04,17.41
2018-12-31,32.01,$2.25,14.23
2018-09-30,38.3,$2.26,16.94
2018-06-30,31.7,$2.27,13.97
2018-03-31,36.63,$2.22,16.5
2017-12-31,33.19,$2.17,15.3
2017-09-30,31.43,$2.14,14.69
2017-06-30,29.27,$2.16,13.55
2017-03-31,26.64,$2.17,12.28
2016-12-31,23.32,$2.01,11.6
2016-09-30,24.82,$1.83,13.56
2016-06-30,21.28,$1.70,12.52
2016-03-31,20.48,$1.77,11.57
2015-12-31,17.79,$1.87,9.51
2015-09-30,16.22,$1.94,8.36
2015-06-30,17.75,$1.97,9.01
2015-03-31,17.78,$1.85,9.61
2014-12-31,16.95,$1.68,10.09
2014-09-30,15.28,$1.47,10.4
2014-06-30,15.85,$1.32,12.01
2014-03-31,14.83,$1.27,11.68
2013-12-31,12.92,$1.22,10.59
2013-09-30,12.57,$1.21,10.39
2013-06-30,13.28,$1.19,11.16
2013-03-31,12.46,$1.13,11.03
2012-12-31,12.44,$1.09,11.41
2012-09-30,11.47,$1.01,11.36
2012-06-30,9.83,$0.89,11.05
2012-03-31,10.76,$0.86,12.51
2011-12-31,9.09,$0.88,10.33
2011-09-30,8.05,$0.94,8.56
2011-06-30,8.88,$1.02,8.71
2011-03-31,8.3,$1.02,8.14
2010-12-31,8.55,$0.98,8.72
2010-09-30,6.91,$0.91,7.6
2010-06-30,6.41,$0.81,7.92
2010-03-31,6.89,$0.71,9.71
2009-12-31,7.52,$0.52,14.45
