Bolt Projects Holdings PE Ratio Historical Data,Bolt Projects Holdings PE Ratio Historical Data,Bolt Projects Holdings PE Ratio Historical Data,Bolt Projects Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.32,,1.0
2024-12-31,0.48,$0.32,1.51
2024-09-30,0.82,$0.32,2.56
2024-06-30,11.04,0,0.0
2024-03-31,10.72,0,0.0
2023-12-31,10.58,0,0.0
2023-09-30,10.55,0,0.0
2023-06-30,10.26,0,0.0
2023-03-31,10.11,0,0.0
2022-12-31,10.02,0,0.0
2022-09-30,9.81,0,0.0
2022-06-30,9.76,0,0.0
2022-03-31,9.76,0,0.0
