Talphera PE Ratio Historical Data,Talphera PE Ratio Historical Data,Talphera PE Ratio Historical Data,Talphera PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.62,,0.0
2024-09-30,0.86,$-0.69,0.0
2024-06-30,0.89,$-0.64,0.0
2024-03-31,1.03,$-0.89,0.0
2023-12-31,0.74,$-1.48,0.0
2023-09-30,0.58,$-2.23,0.0
2023-06-30,1.11,$-3.09,0.0
2023-03-31,0.66,$6.91,0.1
2022-12-31,2.26,$6.46,0.35
2022-09-30,4.18,$6.26,0.67
2022-06-30,4.89,$5.80,0.84
2022-03-31,5.71,$-5.40,0.0
2021-12-31,11.2,$-5.80,0.0
2021-09-30,20.4,$-6.60,0.0
2021-06-30,27.6,$-7.20,0.0
2021-03-31,34.0,$-7.20,0.0
2020-12-31,24.8,$-9.60,0.0
2020-09-30,28.4,$-11.20,0.0
2020-06-30,24.2,$-12.40,0.0
2020-03-31,23.6,$-14.00,0.0
2019-12-31,42.2,$-13.40,0.0
2019-09-30,44.0,$-13.40,0.0
2019-06-30,50.6,$-14.40,0.0
2019-03-31,69.6,$-15.20,0.0
2018-12-31,46.2,$-16.40,0.0
2018-09-30,77.0,$-16.80,0.0
2018-06-30,67.5,$-18.20,0.0
2018-03-31,42.0,$-20.00,0.0
2017-12-31,40.5,$-22.20,0.0
2017-09-30,92.0,$-22.40,0.0
2017-06-30,43.0,$-21.80,0.0
2017-03-31,63.0,$-20.80,0.0
2016-12-31,52.0,$-19.00,0.0
2016-09-30,77.8,$-19.60,0.0
2016-06-30,53.8,$-12.40,0.0
2016-03-31,61.6,$-11.60,0.0
2015-12-31,77.0,$-12.00,0.0
2015-09-30,61.0,$-13.60,0.0
2015-06-30,84.8,$-18.40,0.0
2015-03-31,77.2,$-20.40,0.0
2014-12-31,134.6,$-19.40,0.0
2014-09-30,109.8,$-4.80,0.0
2014-06-30,205.0,$-7.40,0.0
2014-03-31,240.2,$-10.80,0.0
2013-12-31,226.2,$-13.20,0.0
2013-09-30,215.6,$-29.60,0.0
2013-06-30,185.4,$-32.00,0.0
2013-03-31,103.2,$-29.60,0.0
2012-12-31,85.2,$-30.00,0.0
2012-09-30,63.8,$-28.40,0.0
2012-06-30,65.0,$-26.80,0.0
2012-03-31,69.8,$-24.80,0.0
2011-12-31,38.4,$-23.60,0.0
