Hoth Therapeutics PE Ratio Historical Data,Hoth Therapeutics PE Ratio Historical Data,Hoth Therapeutics PE Ratio Historical Data,Hoth Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.07,,0.0
2024-09-30,0.88,$-1.32,0.0
2024-06-30,0.91,$-1.61,0.0
2024-03-31,1.52,$-1.94,0.0
2023-12-31,1.44,$-2.36,0.0
2023-09-30,1.52,$-4.77,0.0
2023-06-30,3.0,$-6.22,0.0
2023-03-31,2.06,$-7.90,0.0
2022-12-31,7.8,$-9.77,0.0
2022-09-30,8.7,$-10.55,0.0
2022-06-30,10.48,$-12.00,0.0
2022-03-31,17.3,$-13.25,0.0
2021-12-31,16.5,$-16.50,0.0
2021-09-30,29.75,$-14.00,0.0
2021-06-30,40.0,$-14.50,0.0
2021-03-31,49.25,$-16.00,0.0
2020-12-31,59.25,$-14.50,0.0
2020-09-30,49.25,$-23.75,0.0
2020-06-30,64.5,$-24.00,0.0
2020-03-31,76.5,$-22.25,0.0
2019-12-31,154.75,$-20.75,0.0
