CAVA PE Ratio Historical Data,CAVA PE Ratio Historical Data,CAVA PE Ratio Historical Data,CAVA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,84.66,,76.96
2024-12-31,112.8,$1.10,102.55
2024-09-30,123.85,$0.46,269.24
2024-06-30,92.75,$0.37,250.68
2024-03-31,70.05,$0.41,170.85
