LifeMD PE Ratio Historical Data,LifeMD PE Ratio Historical Data,LifeMD PE Ratio Historical Data,LifeMD PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.65,,0.0
2024-12-31,4.95,$-0.52,0.0
2024-09-30,5.24,$-0.64,0.0
2024-06-30,6.86,$-0.70,0.0
2024-03-31,10.28,$-0.74,0.0
2023-12-31,8.29,$-0.70,0.0
2023-09-30,6.25,$-0.98,0.0
2023-06-30,4.35,$-1.04,0.0
2023-03-31,1.7,$-1.26,0.0
2022-12-31,1.94,$-1.57,0.0
2022-09-30,1.97,$-1.79,0.0
2022-06-30,2.04,$-2.07,0.0
2022-03-31,3.53,$-2.26,0.0
2021-12-31,3.87,$-2.27,0.0
2021-09-30,6.21,$-4.21,0.0
2021-06-30,11.78,$-5.32,0.0
2021-03-31,15.82,$-4.98,0.0
2020-12-31,6.53,$-4.76,0.0
