Cross Country Healthcare PE Ratio Historical Data,Cross Country Healthcare PE Ratio Historical Data,Cross Country Healthcare PE Ratio Historical Data,Cross Country Healthcare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,14.8,,0.0
2024-12-31,18.16,$-0.43,0.0
2024-09-30,13.44,$-0.05,0.0
2024-06-30,13.84,$0.23,60.17
2024-03-31,18.72,$1.30,14.4
2023-12-31,22.64,$2.03,11.15
2023-09-30,24.79,$2.82,8.79
2023-06-30,28.08,$3.39,8.28
2023-03-31,22.32,$4.19,5.33
2022-12-31,26.57,$5.01,5.3
2022-09-30,28.37,$6.03,4.7
2022-06-30,20.83,$5.72,3.64
2022-03-31,21.67,$4.63,4.68
2021-12-31,27.76,$3.53,7.86
2021-09-30,21.24,$1.59,13.36
2021-06-30,16.51,$0.93,17.75
2021-03-31,12.49,$0.23,54.3
2020-12-31,8.87,$-0.36,0.0
2020-09-30,6.49,$-0.52,0.0
2020-06-30,6.16,$-0.57,0.0
2020-03-31,6.74,$-1.62,0.0
2019-12-31,11.62,$-1.61,0.0
2019-09-30,10.3,$-2.13,0.0
2019-06-30,9.38,$-2.05,0.0
2019-03-31,7.03,$-0.57,0.0
2018-12-31,7.33,$-0.47,0.0
2018-09-30,8.73,$0.85,10.27
2018-06-30,11.25,$1.05,10.71
2018-03-31,11.11,$1.14,9.75
2017-12-31,12.76,$1.01,12.63
2017-09-30,14.23,0,0.0
2017-06-30,12.91,$0.03,430.33
2017-03-31,14.36,$-0.64,0.0
2016-12-31,15.61,$-0.47,0.0
2016-09-30,11.78,$-0.42,0.0
2016-06-30,13.92,$-0.48,0.0
2016-03-31,11.63,$0.14,83.07
2015-12-31,16.39,$0.10,163.9
2015-09-30,13.61,$-0.36,0.0
2015-06-30,12.68,$-0.76,0.0
2015-03-31,11.86,$-0.94,0.0
2014-12-31,12.48,$-1.02,0.0
2014-09-30,9.29,$-2.06,0.0
2014-06-30,6.52,$-1.79,0.0
2014-03-31,8.07,$-1.74,0.0
2013-12-31,9.98,$-1.67,0.0
2013-09-30,6.04,$-0.29,0.0
2013-06-30,5.16,$-0.89,0.0
2013-03-31,5.31,$-1.31,0.0
2012-12-31,4.8,$-1.37,0.0
2012-09-30,4.73,$-1.04,0.0
2012-06-30,4.37,$-0.41,0.0
2012-03-31,5.01,$0.11,45.55
2011-12-31,5.55,$0.14,39.64
2011-09-30,4.18,$-0.07,0.0
2011-06-30,7.6,$-0.10,0.0
2011-03-31,7.83,$-0.11,0.0
2010-12-31,8.47,$-0.08,0.0
2010-09-30,7.19,$0.12,59.92
2010-06-30,8.99,$0.12,74.92
2010-03-31,10.11,$0.15,67.4
2009-12-31,9.91,$0.21,47.19
