LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data,LKQ PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.98,,15.64
2024-12-31,36.75,$2.62,14.03
2024-09-30,39.61,$2.68,14.78
2024-06-30,40.96,$2.73,15.0
2024-03-31,52.25,$3.08,16.96
2023-12-31,46.48,$3.50,13.28
2023-09-30,47.84,$3.56,13.44
2023-06-30,56.01,$3.73,15.02
2023-03-31,54.3,$4.17,13.02
2022-12-31,50.83,$4.11,12.37
2022-09-30,44.65,$4.20,10.63
2022-06-30,46.27,$4.21,10.99
2022-03-31,42.59,$3.73,11.42
2021-12-31,56.01,$3.66,15.3
2021-09-30,46.74,$3.44,13.59
2021-06-30,45.72,$3.12,14.65
2021-03-31,39.32,$2.50,15.73
2020-12-31,32.74,$2.09,15.66
2020-09-30,25.76,$1.96,13.14
2020-06-30,24.34,$1.81,13.45
2020-03-31,19.05,$1.90,10.03
2019-12-31,33.16,$1.74,19.06
2019-09-30,29.22,$1.39,21.02
2019-06-30,24.72,$1.32,18.73
2019-03-31,26.36,$1.34,19.67
2018-12-31,22.04,$1.52,14.5
2018-09-30,29.42,$1.81,16.25
2018-06-30,29.63,$1.78,16.65
2018-03-31,35.25,$1.77,19.92
2017-12-31,37.78,$1.72,21.97
2017-09-30,33.43,$1.60,20.9
2017-06-30,30.61,$1.61,19.01
2017-03-31,27.19,$1.58,17.21
2016-12-31,28.47,$1.49,19.11
2016-09-30,32.94,$1.52,21.67
2016-06-30,29.45,$1.45,20.31
2016-03-31,29.66,$1.38,21.49
2015-12-31,27.52,$1.38,19.95
2015-09-30,26.34,$1.33,19.81
2015-06-30,28.1,$1.30,21.61
2015-03-31,23.74,$1.25,19.0
2014-12-31,26.12,$1.24,21.07
2014-09-30,24.7,$1.24,19.92
2014-06-30,24.79,$1.18,21.01
2014-03-31,24.48,$1.09,22.46
2013-12-31,30.56,$1.03,29.67
2013-09-30,29.61,$0.98,30.21
2013-06-30,23.92,$0.92,26.0
2013-03-31,20.21,$0.89,22.84
2012-12-31,19.6,$0.88,22.4
2012-09-30,17.16,$0.86,20.07
2012-06-30,15.5,$0.84,18.45
2012-03-31,14.48,$0.79,18.44
2011-12-31,13.97,$0.71,19.68
2011-09-30,11.22,$0.66,17.0
2011-06-30,12.12,$0.62,19.55
2011-03-31,11.19,$0.59,18.97
2010-12-31,10.55,$0.58,18.19
2010-09-30,9.66,$0.57,16.95
2010-06-30,8.96,$0.55,16.43
2010-03-31,9.43,$0.52,18.31
2009-12-31,9.1,$0.45,20.45
