NOV PE Ratio Historical Data,NOV PE Ratio Historical Data,NOV PE Ratio Historical Data,NOV PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.1,,9.38
2024-12-31,14.6,$1.61,9.07
2024-09-30,15.89,$2.71,5.86
2024-06-30,18.83,$2.67,7.05
2024-03-31,19.25,$2.49,7.73
2023-12-31,19.94,$2.51,7.95
2023-09-30,20.5,$1.26,16.27
2023-06-30,15.69,$1.05,14.95
2023-03-31,18.05,$0.84,21.49
2022-12-31,20.32,$0.39,52.1
2022-09-30,15.7,$0.03,523.31
2022-06-30,16.36,$-0.23,0.0
2022-03-31,18.93,$-0.48,0.0
2021-12-31,13.05,$-0.65,0.0
2021-09-30,12.57,$-1.45,0.0
2021-06-30,14.69,$-1.41,0.0
2021-03-31,13.16,$-1.58,0.0
2020-12-31,13.17,$-6.62,0.0
2020-09-30,8.69,$-6.73,0.0
2020-06-30,11.75,$-7.23,0.0
2020-03-31,9.43,$-21.10,0.0
2019-12-31,23.89,$-15.96,0.0
2019-09-30,20.17,$-14.92,0.0
2019-06-30,21.11,$-14.28,0.0
2019-03-31,25.23,$-0.11,0.0
2018-12-31,24.3,$-0.09,0.0
2018-09-30,40.66,$-0.16,0.0
2018-06-30,40.92,$-0.23,0.0
2018-03-31,34.66,$-0.49,0.0
2017-12-31,33.87,$-0.63,0.0
2017-09-30,33.55,$-2.49,0.0
2017-06-30,30.88,$-6.04,0.0
2017-03-31,37.53,$-6.42,0.0
2016-12-31,35.0,$-6.42,0.0
2016-09-30,34.3,$-8.58,0.0
2016-06-30,31.37,$-4.55,0.0
2016-03-31,28.95,$-3.23,0.0
2015-12-31,30.73,$-2.15,0.0
2015-09-30,34.12,$3.30,10.34
2015-06-30,43.24,$4.51,9.59
2015-03-31,44.36,$5.21,8.51
2014-12-31,57.62,$5.82,9.9
2014-09-30,66.46,$5.96,11.15
2014-06-30,71.52,$5.83,12.27
2014-03-31,60.66,$5.63,10.77
2013-12-31,61.75,$5.43,11.37
2013-09-30,60.45,$5.46,11.07
2013-06-30,53.15,$5.40,9.84
2013-03-31,54.37,$5.58,9.74
2012-12-31,52.43,$5.83,8.99
2012-09-30,61.33,$5.62,10.91
2012-06-30,49.26,$5.44,9.06
2012-03-31,60.64,$5.15,11.78
2011-12-31,51.8,$4.69,11.05
2011-09-30,38.96,$4.39,8.88
2011-06-30,59.39,$4.10,14.49
2011-03-31,60.11,$3.93,15.29
2010-12-31,50.92,$3.98,12.79
2010-09-30,33.61,$3.87,8.69
2010-06-30,24.93,$3.83,6.51
2010-03-31,30.51,$3.40,8.97
2009-12-31,33.07,$3.52,9.4
