Rezolute PE Ratio Historical Data,Rezolute PE Ratio Historical Data,Rezolute PE Ratio Historical Data,Rezolute PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.09,,0.0
2024-12-31,4.9,$-1.22,0.0
2024-09-30,4.85,$-1.27,0.0
2024-06-30,4.3,$-1.33,0.0
2024-03-31,2.55,$-1.14,0.0
2023-12-31,0.99,$-1.10,0.0
2023-09-30,1.32,$-1.09,0.0
2023-06-30,1.98,$-1.00,0.0
2023-03-31,1.92,$-1.12,0.0
2022-12-31,2.07,$-1.47,0.0
2022-09-30,2.74,$-2.01,0.0
2022-06-30,3.23,$-2.74,0.0
2022-03-31,3.38,$-3.15,0.0
2021-12-31,4.78,$-2.94,0.0
2021-09-30,7.48,$-3.02,0.0
