IF Bancorp PE Ratio Historical Data,IF Bancorp PE Ratio Historical Data,IF Bancorp PE Ratio Historical Data,IF Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.22,,26.04
2024-12-31,23.3,$0.93,25.05
2024-09-30,20.17,$0.61,33.07
2024-06-30,16.02,$0.55,29.13
2024-03-31,16.47,$0.61,26.99
2023-12-31,15.68,$0.60,26.14
2023-09-30,14.57,$0.97,15.02
2023-06-30,13.94,$1.45,9.61
2023-03-31,15.0,$1.59,9.44
2022-12-31,16.44,$1.75,9.4
2022-09-30,18.08,$1.86,9.72
2022-06-30,17.92,$1.85,9.69
2022-03-31,22.31,$1.84,12.13
2021-12-31,24.34,$1.97,12.36
2021-09-30,21.25,$1.91,11.13
2021-06-30,21.19,$1.74,12.18
2021-03-31,20.0,$1.87,10.7
2020-12-31,20.33,$1.63,12.47
2020-09-30,14.28,$1.46,9.78
2020-06-30,15.77,$1.35,11.68
2020-03-31,14.62,$1.20,12.19
2019-12-31,20.85,$1.18,17.67
2019-09-30,19.02,$1.09,17.45
2019-06-30,18.81,$1.01,18.62
2019-03-31,17.92,$0.85,21.09
2018-12-31,17.99,$0.88,20.44
2018-09-30,20.61,$0.46,44.81
2018-06-30,21.26,$0.47,45.23
2018-03-31,17.79,$0.49,36.31
2017-12-31,17.4,$0.45,38.67
2017-09-30,17.17,$0.97,17.7
2017-06-30,17.17,$1.06,16.2
2017-03-31,17.52,$1.19,14.73
2016-12-31,16.23,$1.21,13.41
2016-09-30,16.35,$1.09,15.0
2016-06-30,16.02,$0.95,16.86
2016-03-31,16.17,$0.86,18.81
2015-12-31,16.09,$0.84,19.15
2015-09-30,14.91,$0.85,17.54
2015-06-30,14.33,$0.83,17.27
2015-03-31,14.52,$0.88,16.51
2014-12-31,14.62,$0.86,17.0
2014-09-30,14.47,$0.87,16.64
2014-06-30,14.22,$0.86,16.53
2014-03-31,14.02,$0.83,16.89
2013-12-31,14.35,$0.84,17.09
2013-09-30,13.84,$0.78,17.74
2013-06-30,13.09,$0.85,15.4
2013-03-31,13.07,$0.84,15.56
2012-12-31,11.82,$0.81,14.6
2012-09-30,11.47,$0.88,13.04
2012-06-30,11.34,$0.32,35.45
