Lakeland Financial PE Ratio Historical Data,Lakeland Financial PE Ratio Historical Data,Lakeland Financial PE Ratio Historical Data,Lakeland Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,60.8,,16.75
2024-12-31,68.76,$3.63,18.94
2024-09-30,64.63,$3.85,16.79
2024-06-30,60.64,$3.92,15.47
2024-03-31,64.88,$3.62,17.92
2023-12-31,63.26,$3.65,17.33
2023-09-30,45.63,$3.50,13.04
2023-06-30,46.27,$3.63,12.75
2023-03-31,59.25,$4.06,14.59
2022-12-31,68.59,$4.04,16.98
2022-09-30,68.08,$3.98,17.11
2022-06-30,61.76,$3.81,16.21
2022-03-31,67.52,$3.76,17.96
2021-12-31,73.76,$3.74,19.72
2021-09-30,65.28,$3.76,17.36
2021-06-30,56.15,$3.71,15.13
2021-03-31,62.71,$3.53,17.76
2020-12-31,48.29,$3.30,14.63
2020-09-30,36.9,$3.19,11.57
2020-06-30,41.46,$3.13,13.24
2020-03-31,32.43,$3.21,10.1
2019-12-31,42.91,$3.38,12.7
2019-09-30,38.32,$3.35,11.44
2019-06-30,40.53,$3.32,12.21
2019-03-31,38.89,$3.25,11.97
2018-12-31,34.34,$3.12,11.01
2018-09-30,39.48,$2.74,14.41
2018-06-30,40.63,$2.56,15.87
2018-03-31,38.77,$2.38,16.29
2017-12-31,40.49,$2.24,18.08
2017-09-30,40.5,$2.32,17.46
2017-06-30,37.96,$2.23,17.02
2017-03-31,35.5,$2.14,16.61
2016-12-31,38.82,$2.05,18.9
2016-09-30,28.87,$2.01,14.36
2016-06-30,16.94,$1.94,8.73
2016-03-31,16.39,$1.89,8.69
2015-12-31,16.59,$1.84,9.02
2015-09-30,15.98,$1.79,8.91
2015-06-30,15.27,$1.79,8.51
2015-03-31,14.2,$1.79,7.92
2014-12-31,15.13,$1.75,8.66
2014-09-30,12.98,$1.73,7.52
2014-06-30,13.13,$1.66,7.91
2014-03-31,13.77,$1.58,8.71
2013-12-31,13.28,$1.56,8.51
2013-09-30,11.06,$1.49,7.44
2013-06-30,9.34,$1.47,6.34
2013-03-31,8.92,$1.46,6.11
2012-12-31,8.63,$1.43,6.02
2012-09-30,9.1,$1.42,6.41
2012-06-30,8.79,$1.39,6.34
2012-03-31,8.47,$1.35,6.26
2011-12-31,8.37,$1.25,6.68
2011-09-30,6.64,$1.16,5.72
2011-06-30,7.11,$1.08,6.58
2011-03-31,7.19,$0.91,7.87
2010-12-31,6.76,$0.88,7.68
2010-09-30,5.83,$0.85,6.83
2010-06-30,6.19,$0.83,7.49
2010-03-31,5.86,$0.86,6.81
2009-12-31,5.26,$0.84,6.26
