Hilltop Holdings PE Ratio Historical Data,Hilltop Holdings PE Ratio Historical Data,Hilltop Holdings PE Ratio Historical Data,Hilltop Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,30.5,,17.53
2024-12-31,28.63,$1.74,16.45
2024-09-30,31.99,$1.63,19.63
2024-06-30,30.95,$1.74,17.79
2024-03-31,30.82,$1.71,18.02
2023-12-31,34.46,$1.69,20.39
2023-09-30,27.6,$1.64,16.83
2023-06-30,30.46,$1.57,19.4
2023-03-31,28.58,$1.74,16.43
2022-12-31,28.77,$1.62,17.76
2022-09-30,23.7,$2.01,11.79
2022-06-30,25.3,$2.66,9.51
2022-03-31,27.75,$3.42,8.11
2021-12-31,33.02,$4.60,7.18
2021-09-30,30.6,$5.17,5.92
2021-06-30,33.97,$5.72,5.94
2021-03-31,31.75,$5.93,5.35
2020-12-31,25.49,$5.02,5.08
2020-09-30,19.0,$4.21,4.51
2020-06-30,16.96,$3.37,5.03
2020-03-31,13.81,$2.57,5.37
2019-12-31,22.67,$2.43,9.33
2019-09-30,21.66,$2.19,9.89
2019-06-30,19.21,$1.71,11.24
2019-03-31,16.42,$1.44,11.4
2018-12-31,15.98,$1.28,12.48
2018-09-30,18.01,$1.12,16.08
2018-06-30,19.64,$1.05,18.7
2018-03-31,20.81,$1.33,15.65
2017-12-31,22.4,$1.35,16.6
2017-09-30,22.94,$1.57,14.61
2017-06-30,23.07,$1.79,12.89
2017-03-31,24.12,$1.48,16.3
2016-12-31,26.11,$1.49,17.52
2016-09-30,19.63,$1.34,14.65
2016-06-30,18.35,$1.28,14.34
2016-03-31,16.5,$1.26,13.1
2015-12-31,16.8,$2.11,7.96
2015-09-30,17.32,$2.25,7.7
2015-06-30,21.06,$2.04,10.32
2015-03-31,16.99,$2.04,8.33
2014-12-31,17.44,$1.17,14.91
2014-09-30,17.53,$1.16,15.11
2014-06-30,18.59,$1.26,14.75
2014-03-31,20.8,$1.20,17.33
2013-12-31,20.22,$1.33,15.2
2013-09-30,16.17,$1.12,14.44
2013-06-30,14.34,$0.69,20.78
2013-03-31,11.79,$0.26,45.36
2012-12-31,11.84,$-0.12,0.0
2012-09-30,11.11,$-0.16,0.0
2012-06-30,9.01,$-0.09,0.0
2012-03-31,7.33,$-0.13,0.0
2011-12-31,7.39,$-0.12,0.0
2011-09-30,6.3,$-0.19,0.0
2011-06-30,7.73,$-0.32,0.0
2011-03-31,8.78,$-0.18,0.0
2010-12-31,8.67,$-0.24,0.0
2010-09-30,8.37,$-0.25,0.0
2010-06-30,8.75,$-0.14,0.0
2010-03-31,10.27,$-0.24,0.0
2009-12-31,10.18,$-0.22,0.0
