Mawson Infrastructure Group PE Ratio Historical Data,Mawson Infrastructure Group PE Ratio Historical Data,Mawson Infrastructure Group PE Ratio Historical Data,Mawson Infrastructure Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.57,,0.0
2024-09-30,1.24,$-3.16,0.0
2024-06-30,1.43,$-3.65,0.0
2024-03-31,1.53,$-4.22,0.0
2023-12-31,3.2,$-3.83,0.0
2023-09-30,0.55,$-3.07,0.0
2023-06-30,1.89,$-3.54,0.0
2023-03-31,3.1,$-2.60,0.0
2022-12-31,0.23,$-2.76,0.0
2022-09-30,0.43,$-2.76,0.0
2022-06-30,1.09,$-1.38,0.0
