Monarch Casino & Resort PE Ratio Historical Data,Monarch Casino & Resort PE Ratio Historical Data,Monarch Casino & Resort PE Ratio Historical Data,Monarch Casino & Resort PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,81.17,,16.4
2024-12-31,78.9,$4.95,15.94
2024-09-30,78.99,$4.52,17.48
2024-06-30,67.62,$4.28,15.8
2024-03-31,74.1,$4.23,17.52
2023-12-31,68.04,$4.20,16.2
2023-09-30,60.81,$4.41,13.79
2023-06-30,68.68,$4.59,14.96
2023-03-31,71.96,$4.44,16.21
2022-12-31,69.87,$4.46,15.67
2022-09-30,51.01,$4.34,11.75
2022-06-30,53.31,$4.08,13.07
2022-03-31,79.26,$4.02,19.72
2021-12-31,67.2,$3.52,19.09
2021-09-30,60.87,$3.30,18.45
2021-06-30,60.13,$2.72,22.11
2021-03-31,55.08,$1.55,35.54
2020-12-31,55.63,$1.24,44.86
2020-09-30,40.53,$0.77,52.63
2020-06-30,30.97,$0.70,44.24
2020-03-31,25.51,$1.44,17.71
2019-12-31,44.12,$1.71,25.8
2019-09-30,37.88,$1.77,21.4
2019-06-30,38.84,$1.85,20.99
2019-03-31,39.91,$1.85,21.57
2018-12-31,34.66,$1.83,18.94
2018-09-30,41.3,$1.67,24.73
2018-06-30,40.03,$1.58,25.33
2018-03-31,38.43,$1.48,25.97
2017-12-31,40.73,$1.39,29.3
2017-09-30,35.92,$1.52,23.63
2017-06-30,27.49,$1.48,18.57
2017-03-31,26.84,$1.40,19.17
2016-12-31,23.43,$1.39,16.85
2016-09-30,22.87,$1.32,17.33
2016-06-30,19.96,$1.24,16.1
2016-03-31,17.68,$1.21,14.61
2015-12-31,20.65,$1.19,17.35
2015-09-30,16.33,$1.12,14.58
2015-06-30,18.68,$0.99,18.87
2015-03-31,17.39,$0.88,19.76
2014-12-31,15.08,$0.83,18.16
2014-09-30,10.82,$0.73,14.83
2014-06-30,13.76,$0.81,16.98
2014-03-31,16.84,$1.00,16.84
2013-12-31,18.25,$1.07,17.05
2013-09-30,17.25,$1.03,16.74
2013-06-30,15.32,$0.96,15.96
2013-03-31,8.84,$0.70,12.63
2012-12-31,9.91,$0.54,18.36
2012-09-30,7.91,$0.49,16.15
2012-06-30,8.31,$0.24,34.61
2012-03-31,9.36,$0.35,26.74
2011-12-31,9.26,$0.34,27.23
2011-09-30,8.89,$0.34,26.14
2011-06-30,9.49,$0.51,18.6
2011-03-31,9.45,$0.45,21.0
2010-12-31,11.36,$0.51,22.27
2010-09-30,10.2,$0.49,20.81
2010-06-30,9.21,$0.45,20.46
2010-03-31,7.72,$0.40,19.31
2009-12-31,7.36,$0.31,23.74
