Mativ Holdings PE Ratio Historical Data,Mativ Holdings PE Ratio Historical Data,Mativ Holdings PE Ratio Historical Data,Mativ Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.25,,0.0
2024-12-31,10.9,$-0.90,0.0
2024-09-30,16.86,$1.96,8.6
2024-06-30,16.74,$-5.99,0.0
2024-03-31,18.41,$-6.04,0.0
2023-12-31,14.95,$-5.66,0.0
2023-09-30,13.82,$-8.51,0.0
2023-06-30,14.56,$-0.61,0.0
2023-03-31,20.17,$-0.17,0.0
2022-12-31,19.33,$0.02,966.37
2022-09-30,20.03,$1.66,12.07
2022-06-30,22.42,$2.47,9.08
2022-03-31,24.15,$2.17,11.13
2021-12-31,25.86,$2.80,9.23
2021-09-30,29.57,$1.60,18.48
2021-06-30,34.04,$2.00,17.02
2021-03-31,40.88,$2.62,15.6
2020-12-31,33.27,$2.66,12.51
2020-09-30,24.84,$2.82,8.81
2020-06-30,26.94,$2.94,9.16
2020-03-31,22.1,$2.92,7.57
2019-12-31,32.93,$2.76,11.93
2019-09-30,29.07,$2.35,12.37
2019-06-30,25.44,$2.78,9.15
2019-03-31,29.28,$2.95,9.92
2018-12-31,18.73,$3.06,6.12
2018-09-30,28.64,$1.94,14.76
2018-06-30,32.34,$1.45,22.3
2018-03-31,28.68,$1.34,21.4
2017-12-31,32.87,$1.12,29.34
2017-09-30,29.76,$2.56,11.62
2017-06-30,26.43,$2.33,11.34
2017-03-31,29.08,$2.46,11.82
2016-12-31,31.64,$2.70,11.72
2016-09-30,26.53,$2.87,9.24
2016-06-30,24.03,$3.11,7.73
2016-03-31,21.19,$3.02,7.02
2015-12-31,27.91,$2.94,9.49
2015-09-30,22.63,$2.83,7.99
2015-06-30,25.96,$2.74,9.47
2015-03-31,29.75,$2.79,10.66
2014-12-31,27.06,$2.93,9.24
2014-09-30,26.19,$2.01,13.03
2014-06-30,27.45,$2.17,12.65
2014-03-31,26.54,$2.20,12.07
2013-12-31,31.84,$2.41,13.21
2013-09-30,37.18,$3.25,11.44
2013-06-30,30.48,$3.20,9.52
2013-03-31,23.51,$3.02,7.79
2012-12-31,23.5,$2.51,9.36
2012-09-30,19.78,$3.40,5.82
2012-06-30,20.34,$2.82,7.22
2012-03-31,20.57,$2.73,7.55
2011-12-31,19.75,$2.73,7.23
2011-09-30,16.57,$1.69,9.83
2011-06-30,16.61,$1.89,8.79
2011-03-31,14.92,$1.71,8.72
2010-12-31,18.5,$1.77,10.48
2010-09-30,17.1,$1.70,10.06
2010-06-30,14.76,$1.35,10.93
2010-03-31,13.87,$1.19,11.71
2009-12-31,20.46,$1.11,18.43
