Enterprise Financial Services PE Ratio Historical Data,Enterprise Financial Services PE Ratio Historical Data,Enterprise Financial Services PE Ratio Historical Data,Enterprise Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,55.63,,11.49
2024-12-31,56.4,$4.84,11.65
2024-09-30,51.02,$4.72,10.81
2024-06-30,40.51,$4.57,8.86
2024-03-31,39.88,$4.67,8.54
2023-12-31,43.62,$5.08,8.59
2023-09-30,36.43,$5.50,6.62
2023-06-30,37.74,$5.65,6.68
2023-03-31,42.79,$5.55,7.71
2022-12-31,46.73,$5.32,8.78
2022-09-30,41.82,$5.07,8.25
2022-06-30,39.22,$4.13,9.5
2022-03-31,44.47,$4.17,10.67
2021-12-31,44.08,$3.90,11.3
2021-09-30,42.21,$3.57,11.82
2021-06-30,43.05,$3.87,11.12
2021-03-31,45.71,$3.20,14.28
2020-12-31,32.2,$2.72,11.84
2020-09-30,25.0,$2.81,8.9
2020-06-30,28.36,$3.21,8.83
2020-03-31,25.28,$3.33,7.59
2019-12-31,43.41,$3.52,12.33
2019-09-30,36.56,$3.45,10.6
2019-06-30,37.18,$3.34,11.13
2019-03-31,36.3,$3.61,10.06
2018-12-31,33.4,$3.84,8.7
2018-09-30,46.94,$3.14,14.95
2018-06-30,47.63,$2.86,16.65
2018-03-31,41.32,$2.41,17.15
2017-12-31,39.69,$2.07,19.17
2017-09-30,37.13,$2.42,15.34
2017-06-30,35.67,$2.32,15.38
2017-03-31,36.98,$2.43,15.22
2016-12-31,37.41,$2.41,15.52
2016-09-30,27.11,$2.26,12.0
2016-06-30,24.11,$2.15,11.21
2016-03-31,23.29,$1.97,11.82
2015-12-31,24.34,$1.89,12.88
2015-09-30,21.55,$1.67,12.9
2015-06-30,19.44,$1.60,12.15
2015-03-31,17.59,$1.53,11.5
2014-12-31,16.75,$1.37,12.23
2014-09-30,14.16,$1.25,11.33
2014-06-30,15.25,$1.28,11.91
2014-03-31,16.89,$1.50,11.26
2013-12-31,17.14,$1.73,9.91
2013-09-30,14.15,$1.78,7.95
2013-06-30,13.32,$1.73,7.7
2013-03-31,11.93,$1.59,7.5
2012-12-31,10.83,$1.37,7.91
2012-09-30,11.23,$1.50,7.48
2012-06-30,9.01,$1.60,5.63
2012-03-31,9.6,$1.68,5.72
2011-12-31,12.05,$1.79,6.73
2011-09-30,11.03,$1.81,6.09
2011-06-30,10.94,$1.61,6.79
2011-03-31,11.32,$1.10,10.3
2010-12-31,8.38,$0.43,19.5
2010-09-30,7.42,$-0.07,0.0
2010-06-30,7.64,$-0.05,0.0
2010-03-31,8.72,$-0.08,0.0
2009-12-31,6.04,$-3.82,0.0
