Navitas Semiconductor PE Ratio Historical Data,Navitas Semiconductor PE Ratio Historical Data,Navitas Semiconductor PE Ratio Historical Data,Navitas Semiconductor PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.33,,0.0
2024-12-31,3.57,$-0.24,0.0
2024-09-30,2.45,$-0.42,0.0
2024-06-30,3.93,$-0.28,0.0
2024-03-31,4.77,$-0.51,0.0
2023-12-31,8.07,$-0.88,0.0
2023-09-30,6.95,$-0.74,0.0
2023-06-30,10.54,$-1.02,0.0
2023-03-31,7.31,$-0.41,0.0
2022-12-31,3.51,$0.59,5.95
2022-09-30,4.85,$-0.60,0.0
2022-06-30,3.86,$-0.93,0.0
2022-03-31,10.28,$-1.19,0.0
2021-12-31,17.01,$-1.80,0.0
